indicator,fr,es
"Apprentis préparant un diplôme d’enseignement supérieur, BTS/BTSA, part de femmes","Apprentis préparant un diplôme d’enseignement supérieur, BTS/BTSA, part de femmes",
"Professeur·es des universités, santé et médecine, part de femmes","Professeur·es des universités, santé et médecine, part de femmes",
"Chercheur·es en entreprise audiovisuelle, part de femmes","Chercheur·es en entreprise audiovisuelle, part de femmes",
"Chercheur·es, moins de 30 ans, part de femmes","Chercheur·es, moins de 30 ans, part de femmes",
"Diplômé·es de Master, part de femmes","Diplômé·es de Master, part de femmes",
"Personnel de recherche, part de femmes","Personnel de recherche, part de femmes",
"Filière professionnelle informatique, part de femmes","Filière professionnelle informatique, part de femmes",
"Chercheur·es en entreprise informatique, part de femmes","Chercheur·es en entreprise informatique, part de femmes",
"Ingénieur·es, technicien·nes, de recherche et de formation, ingénieur·es d’étude, part de femmes","Ingénieur·es, technicien·nes, de recherche et de formation, ingénieur·es d’étude, part de femmes",
"Recherche en sciences biologiques, part de femmes","Recherche en sciences biologiques, part de femmes",
"Administration sociale et de santé, Infirmier·es, part de femmes","Administration sociale et de santé, Infirmier·es, part de femmes",
"Administration sociale et de santé,Attaché·es d’administration d’État, part de femmes","Administration sociale et de santé,Attaché·es d’administration d’État, part de femmes",
"Professeur·es des universités, sciences et tecnhiques, part de femmes","Professeur·es des universités, sciences et tecnhiques, part de femmes",
"Formations paramédicales et sociales, part de femmes","Formations paramédicales et sociales, part de femmes",
"Apprenti·es préparant un diplôme d’enseignement supérieur, Licence, part de femmes","Apprenti·es préparant un diplôme d’enseignement supérieur, Licence, part de femmes",
"Professeur·es des universités, lettre et sciences humaines, part de femmes","Professeur·es des universités, lettre et sciences humaines, part de femmes",
"Bibliothèques, Conservateur·rices des bibliothèques, part de femmes","Bibliothèques, Conservateur·rices des bibliothèques, part de femmes",
"Enseignant·es du 2nd degré, droit et économie, part de femmes","Enseignant·es du 2nd degré, droit et économie, part de femmes",
"Ingénieur·e-chercheur·e,  part de femmes","Ingénieur·e-chercheur·e,  part de femmes",
