pays,annee,nom,part de femmes
France,2017,"Administration sociale et de santé, adjoint·es techniques, part de femmes",48.4
France,2017,"Bibliothèques, Conservateur·rices des bibliothèques, part de femmes",67.9
France,2017,"Bibliothèques, Bibliothécaires, part de femmes",75.8
France,2017,"Bibliothèques, Bibliothécaires adjoint·es et technicien·nes, part de femmes",77.3
France,2017,"Bibliothèques, Magasinier·es, part de femmes",61.7
France,2017,"Inspecteur·rices de l'éducation nationale et inspecteur·rices d'académie, part de femmes",25
France,2017,"Conseiller·es principal·es d’éducation, part de femmes",61.3
France,2017,"Personnel d’orientation, part de femmes",66.7
France,2017,"Enseignant·es de catégorie A, part de femmes",56.5
France,2017,"Diplômé·es de Licence, part de femmes",58.4
France,2017,"Diplômé·es de Master, part de femmes",60.2
France,2017,"Diplômé·es d'un Doctorat, part de femmes",46
France,2021,"Écoles d'ingenieur·es, part de femmes",28.1
France,2018,"Contrats d’apprentissage dans le secteur privé, part de femmes",33.7
France,2017,"Apprentis préparant un diplôme d’enseignement supérieur, BTS/BTSA, part de femmes",36.2
France,2017,"Apprenti·es préparant un diplôme d’enseignement supérieur, DUT, part de femmes",38.1
France,2017,"Apprenti·es préparant un diplôme d’enseignement supérieur, Licence, part de femmes",45.8
France,2017,"Apprenti·es préparant un diplôme d’enseignement supérieur, diplômes d’ingénieur·es, part de femmes",17.9
France,2017,"Apprenti·es préparant un diplôme d’enseignement supérieur, Master, part de femmes",54.6
France,2021,"Formations paramédicales et sociales, part de femmes",86
France,2021,"Universités, lettre et sciences humaines, part de femmes",69
France,2021,"Universités, médecine, pharmacie, part de femmes",65
France,2021,"Universités, droit, économie, part de femmes",61
France,2021,"Enseignement supérieur, part de femmes",55
France,2021,"Universités, science, STAPS, part de femmes",41
France,2019,"Chercheur·es, moins de 30 ans, part de femmes",26
France,2019,"Chercheur·es, 55 ans ou plus, part de femmes",14
France,2021,"Professeur·es des universités, droit et économie, part de femmes",32
France,2021,"Professeur·es des universités, sciences et tecnhiques, part de femmes",19
France,2021,"Professeur·es des universités, santé et médecine, part de femmes",24
France,2021,"Professeur·es des universités, lettre et sciences humaines, part de femmes",41
France,2021,"Maître·esse de conférence, droit et économie, part de femmes",51
France,2021,"Maître·esse de conférence, sciences et tecnhiques, part de femmes",32
France,2021,"Maître·esse de conférence, santé et médecine, part de femmes",51
France,2021,"Maître·esse de conférence, lettre et sciences humaines, part de femmes",58
France,2021,"Enseignant·es du 2nd degré, droit et économie, part de femmes",49
France,2021,"Enseignant·es du 2nd degré, sciences et tecnhiques, part de femmes",59
France,2021,"Enseignant·es du 2nd degré, lettre et sciences humaines, part de femmes",28
France,2021,"Formations paramédicales et sociales, part de femmes",86
France,2020,"Filière professionnelle informatique, part de femmes",9
