indicator,fr,es
"École Nationale d'adminsitration (ENA), part de femmes","École Nationale d'adminsitration (ENA), part de femmes",
"Entreprise individuelle, industrie, part de femmes","Entreprise individuelle, industrie, part de femmes",
"Fonction publique d'État, encadrement supérieur et direction, part de femmes","Fonction publique d'État, encadrement supérieur et direction, part de femmes",
"Programmation artistique lieux musicaux, part des artistes femmes                ","Programmation artistique lieux musicaux, part des artistes femmes",
"Bénéficiaires prime d'activité, part de femmes","Bénéficiaires prime d'activité, part de femmes",
"Métiers du sport, Arbitres gymanstique, part de femmes","Métiers du sport, Arbitres gymanstique, part de femmes",
"Direction de fédérations sportives, part de femmes","Direction de fédérations sportives, part de femmes",
"Fonction publique territoriale, catégorie A, part de femmes","Fonction publique territoriale, catégorie A, part de femmes",
"Rédacteur en chef, part de femmes","Rédacteur en chef, part de femmes",
"Personnel des EHPAD, part de femmes","Personnel des EHPAD, part de femmes",
"Processus de paix, signataires, part de femmes ","Processus de paix, signataires, part de femmes",
"Présence de femmes dans des publicités pour du parfum","Présence de femmes dans des publicités pour du parfum",
"Diplômés universités, part de femmes","Diplômés universités, part de femmes",
"Présentation de journaux radio, part de femmes ","Présentation de journaux radio, part de femmes",
"Entreprise individuelle, activités de services, part de femmes","Entreprise individuelle, activités de services, part de femmes",
"Conseilleurs régionaux en éducation, part de femmes ","Conseilleurs régionaux en éducation, part de femmes",
"Délégations secteur Transport des conseils régionaux, part de femmes","Délégations secteur Transport des conseils régionaux, part de femmes",
"Direction, présidence d'établissements en spectacle vivant, part de femmes","Direction, présidence d'établissements en spectacle vivant, part de femmes",
"Pendant la crise sanitaire, comité mesures de soutien aux entreprises, part de femmes","Pendant la crise sanitaire, comité mesures de soutien aux entreprises, part de femmes",
"Fonctionnaires Ministère Interieur / outre Mer, part de femmes","Fonctionnaires Ministère Interieur / outre Mer, part de femmes",
"Personnel infirmier, part de femmes","Personnel infirmier, part de femmes",
"Directeurs des musées nationaux, part de femmes","Directeurs des musées nationaux, part de femmes",
"Personnes vivant en ménage pauvre, part de femmes","Personnes vivant en ménage pauvre, part de femmes",
"Fonctionnaires Education Nationale, part de femmes","Fonctionnaires Education Nationale, part de femmes",
"Université Lettres, sciences humaines, part de femmes","Université Lettres, sciences humaines, part de femmes",
"Bourse, Entreprises CAC 40, part de femmes","Bourse, Entreprises CAC 40, part de femmes",
"Employés cadres techniques, part de femmes","Employés cadres techniques, part de femmes",
"Fonction publique hospitalière, catégorie A, part de femmes","Fonction publique hospitalière, catégorie A, part de femmes",
"A l'antenne télévision- radio  6 h - 9 h, part de femmes","A l'antenne télévision- radio  6 h - 9 h, part de femmes",
"Métiers du sport, Arbitres rugby, part de femmes","Métiers du sport, Arbitres rugby, part de femmes",
"Part des femmes à l’antenne","Part des femmes à l’antenne",
"Travailleur·euses domestiques, part de femmes migrantes ou réfugiées","Travailleur·euses domestiques, part de femmes migrantes ou réfugiées",
"Travail secteur numérique, part de femmes","Travail secteur numérique, part de femmes",
"Pendant la crise sanitaire, conseil scientifique, part de femmes","Pendant la crise sanitaire, conseil scientifique, part de femmes",
"Organes locaux de délibération , part de femmes","Organes locaux de délibération , part de femmes",
"Directeurs des établissement spectacle vivant, part de femmes","Directeurs des établissement spectacle vivant, part de femmes",
"Parents isolés seul·es avec enfant, part de femmes","Parents isolés seul·es avec enfant, part de femmes",
"Experts invités dans les médias, part de femmes","Experts invités dans les médias, part de femmes",
"Bourse, Entreprises MIB 40, part de femmes","Bourse, Entreprises MIB 40, part de femmes",
"Conseilleurs régionaux en budget/finance, part de femmes","Conseilleurs régionaux en budget/finance, part de femmes",
"Licences fédérations sportives, gymnastique, part de femmes","Licences fédérations sportives, gymnastique, part de femmes",
"Equipes chargées des négociations climatiques, part de femmes","Equipes chargées des négociations climatiques, part de femmes",
"Métiers du sport, Conseiller·es techniques, part de femmes","Métiers du sport, Conseiller·es techniques, part de femmes",
"Expert.e.s à la télévision et à la radio, part de femmes","Expert.e.s à la télévision et à la radio, part de femmes",
"Présidentes d'entreprise (PDG), part de femmes","Présidentes d'entreprise (PDG), part de femmes",
"Commission internationale économique post-covid, part de femmes","Commission internationale économique post-covid, part de femmes",
"Artistes dans spectacles cirque, part de femmes","Artistes dans spectacles cirque, part de femmes",
"Fonction publique d'État, catégorie A+, part de femmes","Fonction publique d'État, catégorie A+, part de femmes",
"Artistes dans spectacles danse, part de femmes","Artistes dans spectacles danse, part de femmes",
"Maire d'une ville de plus de 100 000 habitants, part de femmes","Maire d'une ville de plus de 100 000 habitants, part de femmes",
"Sénat, part de femmes","Sénat, part de femmes",
"Professions intermédiaires de la santé et du travail social, part de femmes","Professions intermédiaires de la santé et du travail social, part de femmes",
"Assemblée Nationale, part de femmes","Assemblée Nationale, part de femmes",
"Présence de femmes dans des publicités pour des jeux d'argent","Présence de femmes dans des publicités pour des jeux d'argent",
"Gouvernement, part de femmes","Gouvernement, part de femmes",
"Réalisation de films longs métrages, part de femmes","Réalisation de films longs métrages, part de femmes",
"Métiers du sport, Arbitres handball, part de femmes","Métiers du sport, Arbitres handball, part de femmes",
"Processus de paix, négociation, part de femmes ","Processus de paix, négociation, part de femmes",
"Bourse, Entreprises HDAX, part de femmes","Bourse, Entreprises HDAX, part de femmes",
"Présidences de commissions Assemblée Nationale, part de femmes","Présidences de commissions Assemblée Nationale, part de femmes",
"Métiers du sport, Arbitres, part de femmes","Métiers du sport, Arbitres, part de femmes",
"Sciences fondamentales et applications,  part de femmes","Sciences fondamentales et applications,  part de femmes",
"UniversitéDroit, économie, part de femmes","UniversitéDroit, économie, part de femmes",
"Cadres, part de femmes","Cadres, part de femmes",
"Présence de femmes dans des publicités pour soin du corps","Présence de femmes dans des publicités pour soin du corps",
"Journaliste de sport, part de femmes","Journaliste de sport, part de femmes",
"Parmi les 1% plus hauts salaires en équivalent temps plein, part de femmes","Parmi les 1% plus hauts salaires en équivalent temps plein, part de femmes",
"Formations d'ingénieurs, part de femmes","Formations d'ingénieurs, part de femmes",
"Bourse, Entreprises FTSE 100, part de femmes","Bourse, Entreprises FTSE 100, part de femmes",
"Entreprise individuelle, santé et action sociale, part de femmes","Entreprise individuelle, santé et action sociale, part de femmes",
"Présidence de fédérations sportives, part de femmes","Présidence de fédérations sportives, part de femmes",
"Présidentes de conseils régionaux, part de femmes","Présidentes de conseils régionaux, part de femmes",
"Présence de femmes dans des publicités pour des automobiles","Présence de femmes dans des publicités pour des automobiles",
"Fédérations sportives, licencié.e.s, part de femmes","Fédérations sportives, licencié.e.s, part de femmes",
"Présidentes de conseils départementaux, part de femmes","Présidentes de conseils départementaux, part de femmes",
"Direction technique nationale, part de femmes","Direction technique nationale, part de femmes",
"Directeurs des entreprises de l'audiovisuel public, part de femmes","Directeurs des entreprises de l'audiovisuel public, part de femmes",
"Fonction publique hospitalière catégorie A+, part de femmes","Fonction publique hospitalière catégorie A+, part de femmes",
"Enseignement, part de femmes","Enseignement, part de femmes",
"Sentiment de sécurité dans les transports scolaires, part des filles par rapport aux garçons","Sentiment de sécurité dans les transports scolaires, part des filles par rapport aux garçons",
"Baisse du niveau de vie après séparation, femmes par rapport aux hommes","Baisse du niveau de vie après séparation, femmes par rapport aux hommes",
"Confinement, télétravail avec enfants, part des femmes par rapport aux hommes","Confinement, télétravail avec enfants, part des femmes par rapport aux hommes",
"Taux de retard scolaire, part des filles par rapport aux garçons","Taux de retard scolaire, part des filles par rapport aux garçons",
"Confinement, arrêt du travail pour soins aux enfants, part des femmes par rapport aux hommes","Confinement, arrêt du travail pour soins aux enfants, part des femmes par rapport aux hommes",
"Sentiment de sécurité au lycée, part des filles par rapport aux garçons","Sentiment de sécurité au lycée, part des filles par rapport aux garçons",
"Temps partiel subi, femmes par rapport aux hommes","Temps partiel subi, femmes par rapport aux hommes",
"Renoncement à des soins malgré le besoin, part des femmes par rapport aux hommes","Renoncement à des soins malgré le besoin, part des femmes par rapport aux hommes",
"Taux de temps partiel contraint, part des femmes par rapport aux hommes","Taux de temps partiel contraint, part des femmes par rapport aux hommes",
"Taux de contrats à temps partiel, part des femmes par rapport aux hommes","Taux de contrats à temps partiel, part des femmes par rapport aux hommes",
"Actif·ves indépendant·es, ayant arrêté le travail 1er confinement, part des femmes par rapport aux hommes","Actif·ves indépendant·es, ayant arrêté le travail 1er confinement, part des femmes par rapport aux hommes",
"Taux de temps partiel pour soin aux dépendants, part des femmes par rapport aux hommes","Taux de temps partiel pour soin aux dépendants, part des femmes par rapport aux hommes",
"Taux d'emploi apprenti·es sortant d'études CAP, femmes par rapport aux hommes","Taux d'emploi apprenti·es sortant d'études CAP, femmes par rapport aux hommes",
"Parents isolé·es en temps partiel subi, femmes par rapport aux hommes","Parents isolé·es en temps partiel subi, femmes par rapport aux hommes",
"Confinement, télétravail avec pièce dédiée, part des femmes par rapport aux hommes","Confinement, télétravail avec pièce dédiée, part des femmes par rapport aux hommes",
"Victime d'insultes sexistes au lycée, part des filles par rapport aux garçons","Victime d'insultes sexistes au lycée, part des filles par rapport aux garçons",
"Taux d'emploi apprenti·es sortant d'études BP femmes par rapport aux hommes","Taux d'emploi apprenti·es sortant d'études BP femmes par rapport aux hommes",
"Taux d'emploi apprenti·es sortant d'études BTS, femmes par rapport aux hommes","Taux d'emploi apprenti·es sortant d'études BTS, femmes par rapport aux hommes",
"Taux d'activité des femmes par rapport à celui des hommes","Taux d'activité des femmes par rapport à celui des hommes",
"Victime d'insultes sexistes au collège, part des filles par rapport aux garçons","Victime d'insultes sexistes au collège, part des filles par rapport aux garçons",
"Taux d'emploi de cadre à diplôme équivalent, DUT, femmes par rapport aux hommes","Taux d'emploi de cadre à diplôme équivalent, DUT, femmes par rapport aux hommes",
"Taux d'emploi de cadre à diplôme équivalent, LP, femmes par rapport aux hommes","Taux d'emploi de cadre à diplôme équivalent, LP, femmes par rapport aux hommes",
"Taux d'emploi apprenti·es sortant d'étude, femmes par rapport aux hommes","Taux d'emploi apprenti·es sortant d'étude, femmes par rapport aux hommes",
"Confinement, temps passé avec enfants, part des femmes par rapport aux hommes","Confinement, temps passé avec enfants, part des femmes par rapport aux hommes",
"Taux d'emploi de cadre à diplôme équivalent, Master, femmes par rapport aux hommes","Taux d'emploi de cadre à diplôme équivalent, Master, femmes par rapport aux hommes",
"Taux d'emploi apprenti·es sortant d'études Bac pro femmes par rapport aux hommes","Taux d'emploi apprenti·es sortant d'études Bac pro femmes par rapport aux hommes",
"Taux de risque de pauvreté au travail, part des femmes par rapport aux hommes","Taux de risque de pauvreté au travail, part des femmes par rapport aux hommes",
"Parents isolé·es, propriétaires, femmes par rapport aux hommes","Parents isolé·es, propriétaires, femmes par rapport aux hommes",
"Part de salarié·es en contrat précaire, territoires ruraux, femmes par rapport aux hommes","Part de salarié·es en contrat précaire, territoires ruraux, femmes par rapport aux hommes",
