pays,annee,nom,valeur ecart neg ou pos,value Point de %,2022 Mise à jour
DOM hors Mayotte,2017,"Part de chef·fes de famille monoparentale propriétaires, femmes par rapport aux hommes","-25,9",,
France hors Mayotte,2017,"Part de chef·fes de famille monoparentale propriétaires, femmes par rapport aux hommes","-20,1",,
Auvergne-Rhône-Alpes,2019,"Proportion parmi les cadres dirigeant·es, femmes par rapport aux hommes",-59.0,,
Bourgogne-Franche-Comté,2019,"Proportion parmi les cadres dirigeant·es, femmes par rapport aux hommes",-64.1,,
Bretagne,2019,"Proportion parmi les cadres dirigeant·es, femmes par rapport aux hommes",-59.4,,
Centre-Val de Loire,2018,"Proportion parmi les cadres dirigeant·es, femmes par rapport aux hommes",-66.9,,
Grand Est,2019,"Proportion parmi les cadres dirigeant·es, femmes par rapport aux hommes",-63.0,,
Hauts-de-France,2019,"Proportion parmi les cadres dirigeant·es, femmes par rapport aux hommes",-62.3,,
Ile-de-France,2019,"Proportion parmi les cadres dirigeant·es, femmes par rapport aux hommes",-43.3,,
Normandie,2019,"Proportion parmi les cadres dirigeant·es, femmes par rapport aux hommes",-60.6,,
Nouvelle-Aquitaine,2019,"Proportion parmi les cadres dirigeant·es, femmes par rapport aux hommes",-59.9,,
Occitanie,2019,"Proportion parmi les cadres dirigeant·es, femmes par rapport aux hommes",-57.3,,
Pays de la Loire,2019,"Proportion parmi les cadres dirigeant·es, femmes par rapport aux hommes",-63.9,,
Provence-Alpes-Côte d'Azur,2019,"Proportion parmi les cadres dirigeant·es, femmes par rapport aux hommes",-64.5,,
France métropolitaine hors Ile-de-France,2019,"Proportion parmi les cadres dirigeant·es, femmes par rapport aux hommes",-61.2,,
France métropolitaine,2019,"Proportion parmi les cadres dirigeant·es, femmes par rapport aux hommes",-51.4,,
DOM hors Mayotte,2018,"Proportion parmi les cadres dirigeant·es, femmes par rapport aux hommes","-46,2",,
France hors Mayotte,2018,"Proportion parmi les cadres dirigeant·es, femmes par rapport aux hommes","-53,3",,
Auvergne-Rhône-Alpes,2020,"Proportion parmi les licencié·es de sport, femmes par rapport aux hommes",-36.4,,
Bourgogne-Franche-Comté,2020,"Proportion parmi les licencié·es de sport, femmes par rapport aux hommes",-34.4,,
Bretagne,2020,"Proportion parmi les licencié·es de sport, femmes par rapport aux hommes",-36.4,,
Centre-Val de Loire,2020,"Proportion parmi les licencié·es de sport, femmes par rapport aux hommes",-33.6,,
Corse,2020,"Proportion parmi les licencié·es de sport, femmes par rapport aux hommes",-43.4,,
Grand Est,2020,"Proportion parmi les licencié·es de sport, femmes par rapport aux hommes",-34.0,,
Hauts-de-France,2020,"Proportion parmi les licencié·es de sport, femmes par rapport aux hommes",-39.4,,
Ile-de-France,2020,"Proportion parmi les licencié·es de sport, femmes par rapport aux hommes",-35.2,,
Normandie,2020,"Proportion parmi les licencié·es de sport, femmes par rapport aux hommes",-32.6,,
Nouvelle-Aquitaine,2020,"Proportion parmi les licencié·es de sport, femmes par rapport aux hommes",-34.8,,
Occitanie,2020,"Proportion parmi les licencié·es de sport, femmes par rapport aux hommes",-36.6,,
Pays de la Loire,2020,"Proportion parmi les licencié·es de sport, femmes par rapport aux hommes",-37.6,,
Provence-Alpes-Côte d'Azur,2020,"Proportion parmi les licencié·es de sport, femmes par rapport aux hommes",-35.2,,
France métropolitaine hors Ile-de-France,2020,"Proportion parmi les licencié·es de sport, femmes par rapport aux hommes",-35.8,,
France métropolitaine,2020,"Proportion parmi les licencié·es de sport, femmes par rapport aux hommes",-35.8,,
Guadeloupe,2020,"Proportion parmi les licencié·es de sport, femmes par rapport aux hommes",-33.7,,
Martinique,2020,"Proportion parmi les licencié·es de sport, femmes par rapport aux hommes",-30.0,,
Guyane,2020,"Proportion parmi les licencié·es de sport, femmes par rapport aux hommes",-33.6,,
La Réunion,2020,"Proportion parmi les licencié·es de sport, femmes par rapport aux hommes",-37.7,,
Mayotte,2020,"Proportion parmi les licencié·es de sport, femmes par rapport aux hommes",-59.0,,
DOM hors Mayotte,2020,"Proportion parmi les licencié·es de sport, femmes par rapport aux hommes",-34.8,,
DOM y compris Mayotte,2020,"Proportion parmi les licencié·es de sport, femmes par rapport aux hommes",-36.9,,
France hors Mayotte,2020,"Proportion parmi les licencié·es de sport, femmes par rapport aux hommes",-35.7,,
France,2020,"Proportion parmi les licencié·es de sport, femmes par rapport aux hommes",-35.8,,
Auvergne-Rhône-Alpes,2021,"Proportion dans les conseils municipaux, maires, femmes par rapport aux hommes","-57,6",,
Bourgogne-Franche-Comté,2021,"Proportion dans les conseils municipaux, maires, femmes par rapport aux hommes","-59,8",,
Bretagne,2021,"Proportion dans les conseils municipaux, maires, femmes par rapport aux hommes","-57,6",,
Centre-Val de Loire,2021,"Proportion dans les conseils municipaux, maires, femmes par rapport aux hommes","-54,4",,
Corse,2021,"Proportion dans les conseils municipaux, maires, femmes par rapport aux hommes","-75,4",,
Grand Est,2021,"Proportion dans les conseils municipaux, maires, femmes par rapport aux hommes","-65,4",,
Hauts-de-France,2021,"Proportion dans les conseils municipaux, maires, femmes par rapport aux hommes","-65,0",,
Ile-de-France,2021,"Proportion dans les conseils municipaux, maires, femmes par rapport aux hommes","-56,4",,
Normandie,2021,"Proportion dans les conseils municipaux, maires, femmes par rapport aux hommes","-57,4",,
Nouvelle-Aquitaine,2021,"Proportion dans les conseils municipaux, maires, femmes par rapport aux hommes","-56,0",,
Occitanie,2021,"Proportion dans les conseils municipaux, maires, femmes par rapport aux hommes","-62,2",,
Pays de la Loire,2021,"Proportion dans les conseils municipaux, maires, femmes par rapport aux hommes","-59,0",,
Provence-Alpes-Côte d'Azur,2021,"Proportion dans les conseils municipaux, maires, femmes par rapport aux hommes","-61,4",,
France métropolitaine hors Ile-de-France,2021,"Proportion dans les conseils municipaux, maires, femmes par rapport aux hommes","-60,4",,
France métropolitaine,2021,"Proportion dans les conseils municipaux, maires, femmes par rapport aux hommes","-60,2",,
Guadeloupe,2021,"Proportion dans les conseils municipaux, maires, femmes par rapport aux hommes","-56,2",,
Martinique,2021,"Proportion dans les conseils municipaux, maires, femmes par rapport aux hommes","-76,4",,
Guyane,2021,"Proportion dans les conseils municipaux, maires, femmes par rapport aux hommes","-54,6",,
La Réunion,2021,"Proportion dans les conseils municipaux, maires, femmes par rapport aux hommes","-66,6",,
Mayotte,2021,"Proportion dans les conseils municipaux, maires, femmes par rapport aux hommes","-100,0",,
DOM hors Mayotte,2021,"Proportion dans les conseils municipaux, maires, femmes par rapport aux hommes","-64,2",,
DOM y compris Mayotte,2021,"Proportion dans les conseils municipaux, maires, femmes par rapport aux hommes","-69,0",,
France hors Mayotte,2021,"Proportion dans les conseils municipaux, maires, femmes par rapport aux hommes","-60,2",,
France,2021,"Proportion dans les conseils municipaux, maires, femmes par rapport aux hommes","-60,4",,
Auvergne-Rhône-Alpes,2021,"Proportion dans les conseils municipaux, femmes par rapport aux hommes","-12,2",,
Bourgogne-Franche-Comté,2021,"Proportion dans les conseils municipaux, femmes par rapport aux hommes","-22,4",,
Bretagne,2021,"Proportion dans les conseils municipaux, femmes par rapport aux hommes","-6,2",,
Centre-Val de Loire,2021,"Proportion dans les conseils municipaux, femmes par rapport aux hommes","-13,4",,
Corse,2021,"Proportion dans les conseils municipaux, femmes par rapport aux hommes","-24,8",,
Grand Est,2021,"Proportion dans les conseils municipaux, femmes par rapport aux hommes","-23,0",,
Hauts-de-France,2021,"Proportion dans les conseils municipaux, femmes par rapport aux hommes","-18,4",,
Ile-de-France,2021,"Proportion dans les conseils municipaux, femmes par rapport aux hommes","-6,4",,
Normandie,2021,"Proportion dans les conseils municipaux, femmes par rapport aux hommes","-15,4",,
Nouvelle-Aquitaine,2021,"Proportion dans les conseils municipaux, femmes par rapport aux hommes","-13,4",,
Occitanie,2021,"Proportion dans les conseils municipaux, femmes par rapport aux hommes","-16,2",,
Pays de la Loire,2021,"Proportion dans les conseils municipaux, femmes par rapport aux hommes","-7,4",,
Provence-Alpes-Côte d'Azur,2021,"Proportion dans les conseils municipaux, femmes par rapport aux hommes","-10,4",,
France métropolitaine hors Ile-de-France,2021,"Proportion dans les conseils municipaux, femmes par rapport aux hommes","-15,8",,
France métropolitaine,2021,"Proportion dans les conseils municipaux, femmes par rapport aux hommes","-15,4",,
Guadeloupe,2021,"Proportion dans les conseils municipaux, femmes par rapport aux hommes","-1,8",,
Martinique,2021,"Proportion dans les conseils municipaux, femmes par rapport aux hommes","-4,8",,
Guyane,2021,"Proportion dans les conseils municipaux, femmes par rapport aux hommes","-5,2",,
La Réunion,2021,"Proportion dans les conseils municipaux, femmes par rapport aux hommes","-2,0",,
Mayotte,2021,"Proportion dans les conseils municipaux, femmes par rapport aux hommes","-3,0",,
DOM hors Mayotte,2021,"Proportion dans les conseils municipaux, femmes par rapport aux hommes","-3,2",,
DOM y compris Mayotte,2021,"Proportion dans les conseils municipaux, femmes par rapport aux hommes","-3,2",,
France hors Mayotte,2021,"Proportion dans les conseils municipaux, femmes par rapport aux hommes","-15,2",,
France,2021,"Proportion dans les conseils municipaux, femmes par rapport aux hommes","-15,2",,
Auvergne-Rhône-Alpes,2018,"Chef·fes de famille monoparentale chez les 25 à 54 ans, femmes par rapports aux hommes",9.1,,
Bourgogne-Franche-Comté,2018,"Chef·fes de famille monoparentale chez les 25 à 54 ans, femmes par rapports aux hommes",9.3,,
Bretagne,2018,"Chef·fes de famille monoparentale chez les 25 à 54 ans, femmes par rapports aux hommes",8.4,,
Centre-Val de Loire,2018,"Chef·fes de famille monoparentale chez les 25 à 54 ans, femmes par rapports aux hommes",9.5,,
Corse,2018,"Chef·fes de famille monoparentale chez les 25 à 54 ans, femmes par rapports aux hommes",11.1,,
Grand Est,2018,"Chef·fes de famille monoparentale chez les 25 à 54 ans, femmes par rapports aux hommes",9.8,,
Hauts-de-France,2018,"Chef·fes de famille monoparentale chez les 25 à 54 ans, femmes par rapports aux hommes",11.1,,
Ile-de-France,2018,"Chef·fes de famille monoparentale chez les 25 à 54 ans, femmes par rapports aux hommes",10.6,,
Normandie,2018,"Chef·fes de famille monoparentale chez les 25 à 54 ans, femmes par rapports aux hommes",10.0,,
Nouvelle-Aquitaine,2018,"Chef·fes de famille monoparentale chez les 25 à 54 ans, femmes par rapports aux hommes",9.7,,
Occitanie,2018,"Chef·fes de famille monoparentale chez les 25 à 54 ans, femmes par rapports aux hommes",10.9,,
Pays de la Loire,2018,"Chef·fes de famille monoparentale chez les 25 à 54 ans, femmes par rapports aux hommes",8.1,,
Provence-Alpes-Côte d'Azur,2018,"Chef·fes de famille monoparentale chez les 25 à 54 ans, femmes par rapports aux hommes",12.3,,
France métropolitaine hors Ile-de-France,2018,"Chef·fes de famille monoparentale chez les 25 à 54 ans, femmes par rapports aux hommes",10.0,,
France métropolitaine,2018,"Chef·fes de famille monoparentale chez les 25 à 54 ans, femmes par rapports aux hommes",10.1,,
Guadeloupe,2018,"Chef·fes de famille monoparentale chez les 25 à 54 ans, femmes par rapports aux hommes",29.8,,
Martinique,2018,"Chef·fes de famille monoparentale chez les 25 à 54 ans, femmes par rapports aux hommes",29.4,,
Guyane,2018,"Chef·fes de famille monoparentale chez les 25 à 54 ans, femmes par rapports aux hommes",25.9,,
La Réunion,2018,"Chef·fes de famille monoparentale chez les 25 à 54 ans, femmes par rapports aux hommes",21.7,,
Mayotte,2018,"Chef·fes de famille monoparentale chez les 25 à 54 ans, femmes par rapports aux hommes",22.0,,
DOM hors Mayotte,2018,"Chef·fes de famille monoparentale chez les 25 à 54 ans, femmes par rapports aux hommes",25.4,,
France hors Mayotte,2018,"Chef·fes de famille monoparentale chez les 25 à 54 ans, femmes par rapports aux hommes",10.6,,
