pays,annee,nom,valeur  %,FEMMES,HOMMES,REF,LINK
France,2017,"Centre national du livre - Bourses de résidence, montant moyen des aides accordées aux femmes par rapport aux hommes",-5,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2017,"Centre national du livre - Bourses de traduction, montant moyen des aides accordées aux femmes par rapport aux hommes",17,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2018,Centre national du livre - Assistance culturelle- Montant moyen des aides accordées aux femmes par rapport aux hommes,-43,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2018,Centre national du livre - Bourses- Montant moyen des aides accordées aux femmes par rapport aux hommes,-9,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2018,"Centre national du livre - Bourses de résidence, montant moyen des aides accordées aux femmes par rapport aux hommes",3,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2018,"Centre national du livre - Bourses de traduction, montant moyen des aides accordées aux femmes par rapport aux hommes",16,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2018,Centre national du livre - traducteurs étrangers  Montant moyen des aides accordées aux femmes par rapport aux hommes,-16,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2018,"Compositeur·rice musique et chorégraphique, Revenu médian des femmes par rapport aux hommes",-32,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2018,"Dessinateur·rice textile, Revenu médian des femmes par rapport aux hommes",-12,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2018,"Dessinateur·rice, Revenu médian des femmes par rapport aux hommes",-24,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2018,"Traducteur·rice, Revenu médian des femmes par rapport aux hommes",-19,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2018,"Devis moyen des films d’initiative française, femmes par rapport aux hommes",-35,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2017,"Devis moyen des films d’initiative française, femmes par rapport aux hommes",-37,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2016,"Devis moyen des films d’initiative française, femmes par rapport aux hommes",-60,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2015,"Devis moyen des films d’initiative française, femmes par rapport aux hommes",-26,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2014,"Devis moyen des films d’initiative française, femmes par rapport aux hommes",-35,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2013,"Devis moyen des films d’initiative française, femmes par rapport aux hommes",-43,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2018,"Écrivain·es et auteur·es d’œuvres dramatiques, Revenu médian des femmes par rapport aux hommes",-14,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2018,"Auteur·es d’œuvres audiovisuelles, Revenu médian des femmes par rapport aux hommes",-22,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2018,"Auteur·es de logiciels, multimédias, Revenu médian des femmes par rapport aux hommes",-33,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2018,"Production audiovisuelle, Revenus annuels moyens bruts par équivalent temps plein des femmes par rapport aux hommes",-11,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2018,"Production cinématographique, Revenus annuels moyens bruts par équivalent temps plein des femmes par rapport aux hommes",-16,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2018,"Édition phonographique, Revenus annuels moyens bruts par équivalent temps plein des femmes par rapport aux hommes",-24,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2018,"Prestations techniques, Revenus annuels moyens bruts par équivalent temps plein des femmes par rapport aux hommes",-16,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2018,"Radiodiffusion, Revenus annuels moyens bruts par équivalent temps plein des femmes par rapport aux hommes",-9,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2018,"Spectacle vivant privé, Revenus annuels moyens bruts par équivalent temps plein des femmes par rapport aux hommes",-17,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2018,"Spectacle vivant public, Revenus annuels moyens bruts par équivalent temps plein des femmes par rapport aux hommes",-17,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2018,"Télédiffusion, Revenus annuels moyens bruts par équivalent temps plein des femmes par rapport aux hommes",-16,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2018,"Production de films d’animation, Revenus annuels moyens bruts par équivalent temps plein des femmes par rapport aux hommes",-11,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2018,"Distribution cinématographique, Revenus annuels moyens bruts par équivalent temps plein des femmes par rapport aux hommes",-20,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2018,"Édition musicale, Revenus annuels moyens bruts par équivalent temps plein des femmes par rapport aux hommes",-14,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2018,"Exploitation cinématographique, Revenus annuels moyens bruts par équivalent temps plein des femmes par rapport aux hommes",-12,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2017,"Secteur de la musique, Travailleur permanent, plus de 55 ans, salaire des femmes par rapport aux hommes",-34,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2017,"Secteur de la musique, Cadre, salaire des femmes par rapport aux hommes",-18,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2017,"Secteur de la musique, Non cadre, salaire des femmes par rapport aux hommes",-7,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2018,"Secteur Effets visuels numériques, Cadre, suivi de production, salaire des femmes par rapport aux hommes",-6.3,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2018,"Secteur Effets visuels numériques, Cadre, postproduction, salaire des femmes par rapport aux hommes",-7.6,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2018,"Secteur Effets visuels numériques, Cadre, Infographiste, salaire des femmes par rapport aux hommes",-14.3,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2018,"Secteur Effets visuels numériques, Cadre, administration et commercial, salaire des femmes par rapport aux hommes",-40.1,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2018,"Secteur Effets visuels numériques, Non cadre, postproduction, salaire des femmes par rapport aux hommes",-9.1,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2018,"Secteur Effets visuels numériques, Non cadre, Infographiste, salaire des femmes par rapport aux hommes",-14.2,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2018,"Journalisme,  salaire des femmes par rapport aux hommes",-17,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2019,"Journalisme,  salaire des femmes par rapport aux hommes",-15,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2019,"Journalisme,  salaire horaire en CDD des femmes par rapport aux hommes",-5.4,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2019,"Journalisme,  salaire horaire en CDI des femmes par rapport aux hommes",-10.6,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2016,"Compositeur·rice·s musicaux·ales et chorégraphes, revenu médian des femmes par rapport aux hommes",-44,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2016,"Métiers d’art, revenu médian des femmes par rapport aux hommes",-24,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2016,"Artistes plasticien·ne·s, revenu médian des femmes par rapport aux hommes",-28,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2016,"Graphistes, revenu médian des femmes par rapport aux hommes",-15,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2016,"Peintres, revenu médian des femmes par rapport aux hommes",-27,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2016,"Illustrateur·rice·s, revenu médian des femmes par rapport aux hommes",-25,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2016,"Dessinateur·rice·s, revenu médian des femmes par rapport aux hommes",-19,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2016,"Sculpteur·rice·s, revenu médian des femmes par rapport aux hommes",-24,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2016,"Ensemble artistes auteur·e·s affilié·e·s à la Maison des artistes, revenu médian des femmes par rapport aux hommes",-21,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2019,"Devis moyen des films d’initiative française, femmes par rapport aux hommes",-40,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2020,"Devis moyen des films d’initiative française, femmes par rapport aux hommes",-41,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2017,"Secteur de la musique, Technique, salaire des femmes par rapport aux hommes",-6,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2017,"Secteur de la musique, Artiste, salaire des femmes par rapport aux hommes",-9,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2017,"Secteur de la musique, Travailleur permanent, salaire des femmes par rapport aux hommes",-21,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2012,"Secteur de la musique, Travailleur permanent, salaire des femmes par rapport aux hommes",-22,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2007,"Secteur de la musique, Travailleur permanent, salaire des femmes par rapport aux hommes",-19,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2002,"Secteur de la musique, Travailleur permanent, salaire des femmes par rapport aux hommes",-18,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2017,"Secteur de la musique, Travailleur permanent, 25-35 ans, salaire des femmes par rapport aux hommes",-5,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2017,"Secteur de la musique, Travailleur permanent, 35-45 ans, salaire des femmes par rapport aux hommes",-16,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2017,"Secteur de la musique, Travailleur permanent, 45-55 ans, salaire des femmes par rapport aux hommes",-26,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2017,"Secteur de la musique, Travailleur permanent, plus de 55 ans, salaire des femmes par rapport aux hommes",-34,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2017,"Secteur de la musique, Cadre, salaire des femmes par rapport aux hommes",-18,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2017,"Spectacle vivant, salaire annuel ETP des femmes par rapport aux hommes",-21,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2020,"Production audiovisuelle, salaire annuel brut moyen des femmes par rapport aux hommes",-12,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2020,"Production cinématographique, salaire annuel brut moyen des femmes par rapport aux hommes",-14,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2020,"Édition phonographique, salaire annuel brut moyen des femmes par rapport aux hommes",-31,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2020,"Prestations techniques, salaire annuel brut moyen des femmes par rapport aux hommes",-6,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2020,"Radiodiffusion, salaire annuel brut moyen des femmes par rapport aux hommes",-6,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2020,"Spectacle vivant privé, salaire annuel brut moyen des femmes par rapport aux hommes",-19,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2020,"Spectacle vivant public, salaire annuel brut moyen des femmes par rapport aux hommes",-15,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2020,"Télédiffusion, salaire annuel brut moyen des femmes par rapport aux hommes",-12,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2020,"Production de films d’animation, salaire annuel brut moyen des femmes par rapport aux hommes",-8,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2020,"Distribution cinématographique, salaire annuel brut moyen des femmes par rapport aux hommes",-22,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2020,"Édition musicale, salaire annuel brut moyen des femmes par rapport aux hommes",-6,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2020,"Exploitation cinématographique, salaire annuel brut moyen des femmes par rapport aux hommes",-10,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2020,"Spectacle et audiovisuel, salaire annuel brut moyen des femmes par rapport aux hommes",-12,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2018,"Artistes, Revenu médian des femmes par rapport aux hommes",-24,,,,
France,2018,"Compositeur·rice musique et chorégraphique, Revenu médian des femmes par rapport aux hommes",-32,,,,
France,2018,"Dessinateur·rice textile, Revenu médian des femmes par rapport aux hommes",-12,,,,
France,2018,"Dessinateur·rice, Revenu médian des femmes par rapport aux hommes",-24,,,,
France,2018,"Traducteur·rice, Revenu médian des femmes par rapport aux hommes",-19,,,,
France,2018,"Devis moyen des films d’initiative française, femmes par rapport aux hommes",-35,,,,
France,2016,"Devis moyen des films d’initiative française, femmes par rapport aux hommes",-60,,,,
France,2015,"Devis moyen des films d’initiative française, femmes par rapport aux hommes",-26,,,,
France,2014,"Devis moyen des films d’initiative française, femmes par rapport aux hommes",-35,,,,
France,2013,"Devis moyen des films d’initiative française, femmes par rapport aux hommes",-43,,,,
France,2018,"Écrivain·es et auteur·es d’œuvres dramatiques, Revenu médian des femmes par rapport aux hommes",-14,,,,
France,2018,"Auteur·es d’œuvres audiovisuelles, Revenu médian des femmes par rapport aux hommes",-22,,,,
France,2018,"Photographes, Revenu médian des femmes par rapport aux hommes",-26,,,,
France,2018,"Auteur·es de logiciels, multimédias, Revenu médian des femmes par rapport aux hommes",-33,,,,
France,2018,Salaire net dans la fonction publique d'Etat des femmes par rapport aux hommes,-13.5,,,secretariat_2022,
France,2018,Salaire net dans la fonction publique Territoriale des femmes par rapport aux hommes,-9.2,,,secretariat_2022,
France,2018,Salaire net dans la fonction publique Hospitalière des femmes par rapport aux hommes,-20.9,,,secretariat_2022,
