pays,annee,nom,valeur %,femmes,hommes,REF,
France métropolitaine hors Ile-de-France,2018,"Revenu salarial net annuel moyen, femmes par rapport aux hommes","-25,0",,,,
France métropolitaine,2018,"Revenu salarial net annuel moyen, femmes par rapport aux hommes","-23,6",,,,
Guadeloupe,2018,"Revenu salarial net annuel moyen, femmes par rapport aux hommes","-13,0",,,,
Martinique,2018,"Revenu salarial net annuel moyen, femmes par rapport aux hommes","-14,5",,,,
Guyane,2018,"Revenu salarial net annuel moyen, femmes par rapport aux hommes","-12,6",,,,
La Réunion,2018,"Revenu salarial net annuel moyen, femmes par rapport aux hommes","-11,6",,,,
DOM hors Mayotte,2018,"Revenu salarial net annuel moyen, femmes par rapport aux hommes","-12,1",,,,
France hors Mayotte,2018,"Revenu salarial net annuel moyen, femmes par rapport aux hommes","-23,4",,,,
Auvergne-Rhône-Alpes,2019,"Salaire net annuel moyen en EQTP, femmes par rapport aux hommes",-17.3,,,,
Bourgogne-Franche-Comté,2019,"Salaire net annuel moyen en EQTP, femmes par rapport aux hommes",-17,,,,
Bretagne,2019,"Salaire net annuel moyen en EQTP, femmes par rapport aux hommes",-15.1,,,,
Centre-Val de Loire,2019,"Salaire net annuel moyen en EQTP, femmes par rapport aux hommes",-14.9,,,,
Corse,2019,"Salaire net annuel moyen en EQTP, femmes par rapport aux hommes",-12.5,,,,
Grand Est,2019,"Salaire net annuel moyen en EQTP, femmes par rapport aux hommes",-17.8,,,,
Hauts-de-France,2019,"Salaire net annuel moyen en EQTP, femmes par rapport aux hommes",-15.7,,,,
Ile-de-France,2019,"Salaire net annuel moyen en EQTP, femmes par rapport aux hommes","-17,1",,,,
Normandie,2019,"Salaire net annuel moyen en EQTP, femmes par rapport aux hommes",-16.8,,,,
Nouvelle-Aquitaine,2019,"Salaire net annuel moyen en EQTP, femmes par rapport aux hommes",-14.7,,,,
Occitanie,2019,"Salaire net annuel moyen en EQTP, femmes par rapport aux hommes",-16.4,,,,
Pays de la Loire,2019,"Salaire net annuel moyen en EQTP, femmes par rapport aux hommes",-16.6,,,,
Provence-Alpes-Côte d'Azur,2019,"Salaire net annuel moyen en EQTP, femmes par rapport aux hommes",-16.8,,,,
France métropolitaine hors Ile-de-France,2019,"Salaire net annuel moyen en EQTP, femmes par rapport aux hommes",-16.4,,,,
France métropolitaine,2019,"Salaire net annuel moyen en EQTP, femmes par rapport aux hommes",-16.1,,,,
Guadeloupe,2019,"Salaire net annuel moyen en EQTP, femmes par rapport aux hommes",-8.8,,,,
Martinique,2019,"Salaire net annuel moyen en EQTP, femmes par rapport aux hommes",-9.6,,,,
Guyane,2019,"Salaire net annuel moyen en EQTP, femmes par rapport aux hommes",-9.9,,,,
La Réunion,2019,"Salaire net annuel moyen en EQTP, femmes par rapport aux hommes",-8.2,,,,
DOM hors Mayotte,2019,"Salaire net annuel moyen en EQTP, femmes par rapport aux hommes","-8,4",,,,
France hors Mayotte,2019,"Salaire net annuel moyen en EQTP, femmes par rapport aux hommes",-16,,,,
Auvergne-Rhône-Alpes,2018,"Salaire net annuel moyen en EQTP des cadres, femmes par rapport aux hommes","-18,1",,,,
Bourgogne-Franche-Comté,2018,"Salaire net annuel moyen en EQTP des cadres, femmes par rapport aux hommes","-19,5",,,,
Bretagne,2018,"Salaire net annuel moyen en EQTP des cadres, femmes par rapport aux hommes","-17,9",,,,
Centre-Val de Loire,2018,"Salaire net annuel moyen en EQTP des cadres, femmes par rapport aux hommes","-17,9",,,,
Corse,2018,"Salaire net annuel moyen en EQTP des cadres, femmes par rapport aux hommes","-14,9",,,,
Grand Est,2018,"Salaire net annuel moyen en EQTP des cadres, femmes par rapport aux hommes","-19,1",,,,
Hauts-de-France,2018,"Salaire net annuel moyen en EQTP des cadres, femmes par rapport aux hommes","-18,8",,,,
Ile-de-France,2018,"Salaire net annuel moyen en EQTP des cadres, femmes par rapport aux hommes","-20,9",,,,
Normandie,2018,"Salaire net annuel moyen en EQTP des cadres, femmes par rapport aux hommes","-19,1",,,,
Nouvelle-Aquitaine,2018,"Salaire net annuel moyen en EQTP des cadres, femmes par rapport aux hommes","-18,2",,,,
Occitanie,2018,"Salaire net annuel moyen en EQTP des cadres, femmes par rapport aux hommes","-17,2",,,,
Pays de la Loire,2018,"Salaire net annuel moyen en EQTP des cadres, femmes par rapport aux hommes","-18,3",,,,
Provence-Alpes-Côte d'Azur,2018,"Salaire net annuel moyen en EQTP des cadres, femmes par rapport aux hommes","-17,9",,,,
France métropolitaine hors Ile-de-France,2018,"Salaire net annuel moyen en EQTP des cadres, femmes par rapport aux hommes","-18,2",,,,
France métropolitaine,2018,"Salaire net annuel moyen en EQTP des cadres, femmes par rapport aux hommes","-18,4",,,,
Guadeloupe,2018,"Salaire net annuel moyen en EQTP des cadres, femmes par rapport aux hommes","-18,4",,,,
Martinique,2018,"Salaire net annuel moyen en EQTP des cadres, femmes par rapport aux hommes","-20,2",,,,
Guyane,2018,"Salaire net annuel moyen en EQTP des cadres, femmes par rapport aux hommes","-18,8",,,,
La Réunion,2018,"Salaire net annuel moyen en EQTP des cadres, femmes par rapport aux hommes","-17,9",,,,
DOM hors Mayotte,2018,"Salaire net annuel moyen en EQTP des cadres, femmes par rapport aux hommes","-18,5",,,,
France hors Mayotte,2018,"Salaire net annuel moyen en EQTP des cadres, femmes par rapport aux hommes","-18,4",,,,
France,2020,"Salaire net horaire moyen total, femmes par rapport aux hommes",-14.36781609,14.9,17.4,,
France,2020,"Employé.es, Salaire net horaire moyen total, femmes par rapport aux hommes",-3.361344538,11.5,11.9,,
France,2020,"Ouvrier.es, Salaire net horaire moyen total, femmes par rapport aux hommes",-13.00813008,10.7,12.3,,
France,2020,"Salaire net horaire moyen total, 18 à 25 ans, femmes par rapport aux hommes",-4.545454545,10.5,11,,
France,2020,"Salaire net horaire moyen total, 26 à 50 ans, femmes par rapport aux hommes",-11.24260355,15,16.9,,
France,2020,"Salaire net horaire moyen total, + de 50 ans, femmes par rapport aux hommes",-22.27488152,16.4,21.1,,
France,2020,"Clergé, religieux, salaire brut horaire, femmes par rapport aux hommes",-9.6,11.3,12.5,https://docs.google.com/spreadsheets/d/1I6m_m22zFcdcCd6kJM4yQ-SCWQieeq9x/edit?usp=sharing&ouid=101964251927869328959&rtpof=true&sd=true,
France,2020,"Technicien·nes, salaire brut horaire, femmes par rapport aux hommes",-6.046511628,20.2,21.5,https://docs.google.com/spreadsheets/d/1I6m_m22zFcdcCd6kJM4yQ-SCWQieeq9x/edit?usp=sharing&ouid=101964251927869328959&rtpof=true&sd=true,
France,2020,"Contremaîtres, agent·es de maîtrise, salaire brut horaire, femmes par rapport aux hommes",-13.79310345,20,23.2,https://docs.google.com/spreadsheets/d/1I6m_m22zFcdcCd6kJM4yQ-SCWQieeq9x/edit?usp=sharing&ouid=101964251927869328959&rtpof=true&sd=true,
France,2020,"Agent·es de surveillance, salaire brut horaire, femmes par rapport aux hommes",-1.418439716,13.9,14.1,https://docs.google.com/spreadsheets/d/1I6m_m22zFcdcCd6kJM4yQ-SCWQieeq9x/edit?usp=sharing&ouid=101964251927869328959&rtpof=true&sd=true,
France,2020,"Employé·es de commerce, salaire brut horaire, femmes par rapport aux hommes",-8.724832215,13.6,14.9,https://docs.google.com/spreadsheets/d/1I6m_m22zFcdcCd6kJM4yQ-SCWQieeq9x/edit?usp=sharing&ouid=101964251927869328959&rtpof=true&sd=true,
France,2020,"Services directs aux particuliers, salaire brut horaire, femmes par rapport aux hommes",-5.970149254,12.6,13.4,https://docs.google.com/spreadsheets/d/1I6m_m22zFcdcCd6kJM4yQ-SCWQieeq9x/edit?usp=sharing&ouid=101964251927869328959&rtpof=true&sd=true,
France,2020,"Ouvrier·es qualifié·es de type industriel, salaire brut horaire, femmes par rapport aux hommes",-12.08791209,16,18.2,https://docs.google.com/spreadsheets/d/1I6m_m22zFcdcCd6kJM4yQ-SCWQieeq9x/edit?usp=sharing&ouid=101964251927869328959&rtpof=true&sd=true,
France,2020,"Ouvrier·es qualifié·es de type artisanal, salaire brut horaire, femmes par rapport aux hommes",-9.150326797,13.9,15.3,https://docs.google.com/spreadsheets/d/1I6m_m22zFcdcCd6kJM4yQ-SCWQieeq9x/edit?usp=sharing&ouid=101964251927869328959&rtpof=true&sd=true,
France,2020,"Ouvrier·es agricoles, salaire brut horaire, femmes par rapport aux hommes",-5.303030303,12.5,13.2,https://docs.google.com/spreadsheets/d/1I6m_m22zFcdcCd6kJM4yQ-SCWQieeq9x/edit?usp=sharing&ouid=101964251927869328959&rtpof=true&sd=true,
Auvergne-Rhône-Alpes,2019,"Salaire net annuel moyen en EQTP des cadres, femmes par rapport aux hommes",-16.5,,,https://docs.google.com/spreadsheets/d/1-iObOZVowaZZQK6HHFqrtZXHliF2ZCDD/edit?usp=sharing&ouid=101964251927869328959&rtpof=true&sd=true,
Bourgogne-Franche-Comté,2019,"Salaire net annuel moyen en EQTP des cadres, femmes par rapport aux hommes",-18.2,,,https://docs.google.com/spreadsheets/d/1-iObOZVowaZZQK6HHFqrtZXHliF2ZCDD/edit?usp=sharing&ouid=101964251927869328959&rtpof=true&sd=true,
Bretagne,2019,"Salaire net annuel moyen en EQTP des cadres, femmes par rapport aux hommes",-17.1,,,https://docs.google.com/spreadsheets/d/1-iObOZVowaZZQK6HHFqrtZXHliF2ZCDD/edit?usp=sharing&ouid=101964251927869328959&rtpof=true&sd=true,
Centre-Val de Loire,2019,"Salaire net annuel moyen en EQTP des cadres, femmes par rapport aux hommes",-16.9,,,https://docs.google.com/spreadsheets/d/1-iObOZVowaZZQK6HHFqrtZXHliF2ZCDD/edit?usp=sharing&ouid=101964251927869328959&rtpof=true&sd=true,
Corse,2019,"Salaire net annuel moyen en EQTP des cadres, femmes par rapport aux hommes",-13.9,,,https://docs.google.com/spreadsheets/d/1-iObOZVowaZZQK6HHFqrtZXHliF2ZCDD/edit?usp=sharing&ouid=101964251927869328959&rtpof=true&sd=true,
Grand Est,2019,"Salaire net annuel moyen en EQTP des cadres, femmes par rapport aux hommes",-17.9,,,https://docs.google.com/spreadsheets/d/1-iObOZVowaZZQK6HHFqrtZXHliF2ZCDD/edit?usp=sharing&ouid=101964251927869328959&rtpof=true&sd=true,
Hauts-de-France,2019,"Salaire net annuel moyen en EQTP des cadres, femmes par rapport aux hommes",-17.3,,,https://docs.google.com/spreadsheets/d/1-iObOZVowaZZQK6HHFqrtZXHliF2ZCDD/edit?usp=sharing&ouid=101964251927869328959&rtpof=true&sd=true,
Ile-de-France,2019,"Salaire net annuel moyen en EQTP des cadres, femmes par rapport aux hommes",-19.5,,,https://docs.google.com/spreadsheets/d/1-iObOZVowaZZQK6HHFqrtZXHliF2ZCDD/edit?usp=sharing&ouid=101964251927869328959&rtpof=true&sd=true,
Normandie,2019,"Salaire net annuel moyen en EQTP des cadres, femmes par rapport aux hommes",-18.1,,,https://docs.google.com/spreadsheets/d/1-iObOZVowaZZQK6HHFqrtZXHliF2ZCDD/edit?usp=sharing&ouid=101964251927869328959&rtpof=true&sd=true,
Nouvelle-Aquitaine,2019,"Salaire net annuel moyen en EQTP des cadres, femmes par rapport aux hommes",-16.7,,,https://docs.google.com/spreadsheets/d/1-iObOZVowaZZQK6HHFqrtZXHliF2ZCDD/edit?usp=sharing&ouid=101964251927869328959&rtpof=true&sd=true,
Occitanie,2019,"Salaire net annuel moyen en EQTP des cadres, femmes par rapport aux hommes",-15.8,,,https://docs.google.com/spreadsheets/d/1-iObOZVowaZZQK6HHFqrtZXHliF2ZCDD/edit?usp=sharing&ouid=101964251927869328959&rtpof=true&sd=true,
Pays de la Loire,2019,"Salaire net annuel moyen en EQTP des cadres, femmes par rapport aux hommes",-17.4,,,https://docs.google.com/spreadsheets/d/1-iObOZVowaZZQK6HHFqrtZXHliF2ZCDD/edit?usp=sharing&ouid=101964251927869328959&rtpof=true&sd=true,
Provence-Alpes-Côte d'Azur,2019,"Salaire net annuel moyen en EQTP des cadres, femmes par rapport aux hommes",-16.7,,,https://docs.google.com/spreadsheets/d/1-iObOZVowaZZQK6HHFqrtZXHliF2ZCDD/edit?usp=sharing&ouid=101964251927869328959&rtpof=true&sd=true,
France métropolitaine hors Ile-de-France,2019,"Salaire net annuel moyen en EQTP des cadres, femmes par rapport aux hommes",-16.9,,,https://docs.google.com/spreadsheets/d/1-iObOZVowaZZQK6HHFqrtZXHliF2ZCDD/edit?usp=sharing&ouid=101964251927869328959&rtpof=true&sd=true,
France métropolitaine,2019,"Salaire net annuel moyen en EQTP des cadres, femmes par rapport aux hommes",-17,,,https://docs.google.com/spreadsheets/d/1-iObOZVowaZZQK6HHFqrtZXHliF2ZCDD/edit?usp=sharing&ouid=101964251927869328959&rtpof=true&sd=true,
Guadeloupe,2019,"Salaire net annuel moyen en EQTP des cadres, femmes par rapport aux hommes",-18.1,,,https://docs.google.com/spreadsheets/d/1-iObOZVowaZZQK6HHFqrtZXHliF2ZCDD/edit?usp=sharing&ouid=101964251927869328959&rtpof=true&sd=true,
Martinique,2019,"Salaire net annuel moyen en EQTP des cadres, femmes par rapport aux hommes",-19.5,,,https://docs.google.com/spreadsheets/d/1-iObOZVowaZZQK6HHFqrtZXHliF2ZCDD/edit?usp=sharing&ouid=101964251927869328959&rtpof=true&sd=true,
Guyane,2019,"Salaire net annuel moyen en EQTP des cadres, femmes par rapport aux hommes",-17.8,,,https://docs.google.com/spreadsheets/d/1-iObOZVowaZZQK6HHFqrtZXHliF2ZCDD/edit?usp=sharing&ouid=101964251927869328959&rtpof=true&sd=true,
La Réunion,2019,"Salaire net annuel moyen en EQTP des cadres, femmes par rapport aux hommes",-16.9,,,https://docs.google.com/spreadsheets/d/1-iObOZVowaZZQK6HHFqrtZXHliF2ZCDD/edit?usp=sharing&ouid=101964251927869328959&rtpof=true&sd=true,
DOM hors Mayotte,2019,"Salaire net annuel moyen en EQTP des cadres, femmes par rapport aux hommes",-17.7,,,https://docs.google.com/spreadsheets/d/1-iObOZVowaZZQK6HHFqrtZXHliF2ZCDD/edit?usp=sharing&ouid=101964251927869328959&rtpof=true&sd=true,
France hors Mayotte,2019,"Salaire net annuel moyen en EQTP des cadres, femmes par rapport aux hommes",-17,,,https://docs.google.com/spreadsheets/d/1-iObOZVowaZZQK6HHFqrtZXHliF2ZCDD/edit?usp=sharing&ouid=101964251927869328959&rtpof=true&sd=true,
Auvergne-Rhône-Alpes,2019,"Revenu salarial net annuel moyen, femmes par rapport aux hommes",-25.6,,,https://docs.google.com/spreadsheets/d/1-iObOZVowaZZQK6HHFqrtZXHliF2ZCDD/edit?usp=sharing&ouid=101964251927869328959&rtpof=true&sd=true,
Bourgogne-Franche-Comté,2019,"Revenu salarial net annuel moyen, femmes par rapport aux hommes",-24.9,,,,
Bretagne,2019,"Revenu salarial net annuel moyen, femmes par rapport aux hommes",-24.1,,,,
Centre-Val de Loire,2019,"Revenu salarial net annuel moyen, femmes par rapport aux hommes",-22.4,,,,
Corse,2019,"Revenu salarial net annuel moyen, femmes par rapport aux hommes",-20.1,,,,
Grand Est,2019,"Revenu salarial net annuel moyen, femmes par rapport aux hommes",-25.3,,,,
Hauts-de-France,2019,"Revenu salarial net annuel moyen, femmes par rapport aux hommes",-24.4,,,,
Ile-de-France,2019,"Revenu salarial net annuel moyen, femmes par rapport aux hommes",-18.8,,,,
Normandie,2019,"Revenu salarial net annuel moyen, femmes par rapport aux hommes",-25.0,,,,
Nouvelle-Aquitaine,2019,"Revenu salarial net annuel moyen, femmes par rapport aux hommes",-22.7,,,,
Occitanie,2019,"Revenu salarial net annuel moyen, femmes par rapport aux hommes",-24.3,,,,
Pays de la Loire,2019,"Revenu salarial net annuel moyen, femmes par rapport aux hommes",-25.5,,,,
Provence-Alpes-Côte d'Azur,2019,"Revenu salarial net annuel moyen, femmes par rapport aux hommes",-24.3,,,,
France métropolitaine hors Ile-de-France,2019,"Revenu salarial net annuel moyen, femmes par rapport aux hommes",-24.5,,,,
France métropolitaine,2019,"Revenu salarial net annuel moyen, femmes par rapport aux hommes",-22.8,,,,
Guadeloupe,2019,"Revenu salarial net annuel moyen, femmes par rapport aux hommes",-13.4,,,,
Martinique,2019,"Revenu salarial net annuel moyen, femmes par rapport aux hommes",-14.2,,,,
Guyane,2019,"Revenu salarial net annuel moyen, femmes par rapport aux hommes",-13.2,,,,
La Réunion,2019,"Revenu salarial net annuel moyen, femmes par rapport aux hommes",-11.7,,,,
DOM hors Mayotte,2019,"Revenu salarial net annuel moyen, femmes par rapport aux hommes",-12.3,,,,
France hors Mayotte,2019,"Revenu salarial net annuel moyen, femmes par rapport aux hommes",-22.7,,,,
France,2018,"Journalisme,  salaire des femmes par rapport aux hommes",-17,,,"Audiens/études Stat Audiovisuel 2019-2016, Ecarts",
France,2019,"Journalisme,  salaire des femmes par rapport aux hommes",-15,,,"Audiens/études Stat Audiovisuel 2019-2016, Ecarts",
France,2019,"Journalisme,  salaire horaire en CDD des femmes par rapport aux hommes",-5.4,,,"Audiens/études Stat Audiovisuel 2019-2016, Ecarts",
France,2019,"Journalisme,  salaire horaire en CDI des femmes par rapport aux hommes",-10.6,,,"Audiens/études Stat Audiovisuel 2019-2016, Ecarts",
France,2016,"Métiers d’art, revenu médian des femmes par rapport aux hommes",-24,,,"Audiens/études Stat Audiovisuel 2019-2016, Ecarts",
France,2016,"Artistes plasticien·ne·s, revenu médian des femmes par rapport aux hommes",-28,,,"Audiens/études Stat Audiovisuel 2019-2016, Ecarts",
France,2016,"Graphistes, revenu médian des femmes par rapport aux hommes",-15,,,"Audiens/études Stat Audiovisuel 2019-2016, Ecarts",
France,2016,"Peintres, revenu médian des femmes par rapport aux hommes",-27,,,"Audiens/études Stat Audiovisuel 2019-2016, Ecarts",
France,2016,"Illustrateur·rice·s, revenu médian des femmes par rapport aux hommes",-25,,,"Audiens/études Stat Audiovisuel 2019-2016, Ecarts",
France,2016,"Dessinateur·rice·s, revenu médian des femmes par rapport aux hommes",-19,,,"Audiens/études Stat Audiovisuel 2019-2016, Ecarts",
France,2016,"Sculpteur·rice·s, revenu médian des femmes par rapport aux hommes",-24,,,"Audiens/études Stat Audiovisuel 2019-2016, Ecarts",
France,2014,Salaires des femmes par rapport aux hommes ,-24,,,secretariat_2022,
France,2014,Salaires des femmes en équivalent temps plein par rapport aux hommes,-18,,,secretariat_2022,
France,2018,"Traducteur·rices, Revenu médian des femmes par rapport aux hommes",-19,,,secretariat_2022,
France,2015,Pension moyenne de retraite des femmes par rapport aux hommes,-39.2,,,secretariat_2022,
France,2014,"A poste et compétences égales, salaires des femmes par rapport aux hommes ",-9,,,secretariat_2022,
France,2018,Salaire dans la fonction publique des femmes par rapport aux hommes,-12,,,secretariat_2022,
Monde,2020,"Salaire moyen, femmes par rapport aux hommes",-35,,,Secretariat_écart HF_MàJ_2022,
France,2018,"Photographes, Revenu médian des femmes par rapport aux hommes",-26,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2018,"Traducteur·rices, Revenu médian des femmes par rapport aux hommes",-19,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2018,"Artistes, Revenu médian des femmes par rapport aux hommes",-24,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
