annee,pays,nom,valeur,,
2022,France,"Pôles nationaux des arts du cirque, adaptation de spectacles, part de femmes",33%,,
2022,France,"Pôles nationaux des arts du cirque, traduction de spectacles, part de femmes",50%,,
2022,France,"Pôles nationaux des arts du cirque, scénographie, part de femmes",43%,,
2022,France,"Pôles nationaux des arts du cirque, chorégraphie, part de femmes",68%,,
2022,France,"Tous lieux confondus, adaptation de spectacles, part de femmes",41%,,
2022,France,"Tous lieux confondus, traduction de spectacles, part de femmes",42%,,
2022,France,"Tous lieux confondus, mise en scène, part de femmes",42%,,
2022,France,"Tous lieux confondus, scénographe, part de femmes",42%,,
2022,France,"Tous lieux confondus, chorégraphe, part de femmes",46%,,
2018,France,"Audiovisuel, métier de l'image, part de femmes",25%,,
2018,France,"Audiovisuel, métier du son, part de femmes",11%,,
2018,France,"Audiovisuel, Écriture et conception de projets, part de femmes",42%,,
2018,France,"Audiovisuel, Décor, construction, plateau, part de femmes",24%,,
2018,France,"Audiovisuel, Costume, maquillage, coiffure, part de femmes",87%,,
2018,France,"Audiovisuel, Interprétation et gestion de la distribution artistique, part de femmes",42%,,
2020,France,"Auteur·es de doublages et de sous-titrages sociétaires de la Sacem, part de femmes",70%,,
2021,France,"Direction de Centres choré graphiques nationaux, part de femmes",16%,,
2020,France,"Emploi dans les effets visuels et numériques, part de femmes",31%,,
2020,France,"Emploi dans les effets visuels et numériques, masse salariale, part de femmes",27%,,
2013,France,"Artistes exposé·e·s dans les fonds régionaux d’art contemporain, part de femmes",23%,,
2014,France,"Artistes exposé·e·s dans les fonds régionaux d’art contemporain, part de femmes",23%,,
2015,France,"Artistes exposé·e·s dans les fonds régionaux d’art contemporain, part de femmes",23%,,
2016,France,"Artistes exposé·e·s dans les fonds régionaux d’art contemporain, part de femmes",31%,,
2019,France,"Artistes exposé·e·s dans les fonds régionaux d’art contemporain, part de femmes",30%,,
2013,France,"Artistes exposé·e·s dans les centres d’art contemporain, part de femmes",33%,,
2014,France,"Artistes exposé·e·s dans les centres d’art contemporain, part de femmes",31%,,
2015,France,"Artistes exposé·e·s dans les centres d’art contemporain, part de femmes",31%,,
2016,France,"Artistes exposé·e·s dans les centres d’art contemporain, part de femmes",33%,,
2019,France,"Artistes exposé·e·s dans les centres d’art contemporain, part de femmes",38%,,
2013,France,"Acquisitions fonds national d’art contemporain (fnac), part des œuvres de femmes",17%,,
2014,France,"Acquisitions fonds national d’art contemporain (fnac), part des œuvres de femmes",31%,,
2015,France,"Acquisitions fonds national d’art contemporain (fnac), part des œuvres de femmes",43%,,
2016,France,"Acquisitions fonds national d’art contemporain (fnac), part des œuvres de femmes",12%,,
2019,France,"Acquisitions fonds national d’art contemporain (fnac), part des œuvres de femmes",47%,,
2012,France,"Acquisitions fonds national d’art contemporain (fnac), part des œuvres de femmes",18%,,
2013,France,"Acquisitions Fonds national d’art contemporain (fnac), part des œuvres de femmes",28%,,
2014,France,"Acquisitions Fonds national d’art contemporain (fnac), part des œuvres de femmes",25%,,
2015,France,"Acquisitions Fonds national d’art contemporain (fnac), part des œuvres de femmes",33%,,
2016,France,"Acquisitions Fonds national d’art contemporain (fnac), part des œuvres de femmes",23%,,
2017,France,"Acquisitions fonds régionaux d’art contemporain (frac), part des œuvres de femmes",40%,,
2019,France,"Acquisitions fonds régionaux d’art contemporain (frac), part des œuvres de femmes",38%,,
2012,France,"Acquisitions Fonds national d’art contemporain (fnac), part des œuvres de femmes",19%,,
2015,France,"Commissaires d’expositions de quelques grandes expositions, part de femmes",49%,,
2016,France,"Commissaires d’expositions de quelques grandes expositions, part de femmes",58%,,
2017,France,"Commissaires d’expositions de quelques grandes expositions, part de femmes",54%,,
2018,France,"Commissaires d’expositions de quelques grandes expositions, part de femmes",50%,,
2019,France,"Commissaires d’expositions de quelques grandes expositions, part de femmes",57%,,
2019,France,"Acquisitions fonds national d’art contemporain (fnac), part des œuvres de femmes",47%,,
2019,France,"Acquisitions fonds régionaux d’art contemporain (frac), part des œuvres de femmes",38%,,
2019,France,"Artistes exposé·e·s dans les fonds régionaux d’art contemporain, part de femmes",30%,,
2019,France,"Artistes exposé·e·s dans les centres d’art contemporain, part de femmes",38%,,
2014,France,"Photographes représenté·es dans les collections du cnap, part de femmes",25%,,
2016,France,"Photographes représenté·es dans les acquisitions des frac, part de femmes",40%,,
2021,France,"Direction de pôles nationaux des arts du cirque (pnac), part de femmes",38%,,
2022,France,"Direction de Fonds régionaux d’art contemporain (frac), part de femmes",59%,,
2017,France,"Direction de Centres dramatiques nationaux, part de femmes",21%,,
2021,France,"Direction de Centres dramatiques nationaux (cdn) et régionaux (cdr), part de femmes",37%,,
2021,France,"Direction de Centres de développement chorégraphique, part de femmes",77%,,
2021,France,"Direction de Centres d'art, part de femmes",57%,,
2021,France,"Direction de Centres nationaux des arts de la rue et assimilés (cnarep), part de femmes",38%,,
2017,France,"Spectacle vivant, Emplois du costume, Laveur - Repasseur, part de femmes",100%,,Audiens/études Stat 
2017,France,"Spectacle vivant, Emplois du costume, Linger - Raccomodeur, part de femmes",100%,,Audiens/études Stat 
2022,France,"Direction de Centres chorégraphiques nationaux, part de femmes",16%,,
2017,France,"Direction régionale des affaires culturelles, part de femmes",24%,,
2020,France,"Direction régionale des affaires culturelles, part de femmes",41%,,
2022,France,"Ministère de la Culture, poste de direction, part de femmes",32%,,
2020,France,Direction de structures culturelles soutenues par le ministère de la Culture,36%,,
2022,France,"Établissements publics culturels, poste de direction, part de femmes",38%,,
2022,France,"Équipements labellisés de la création artistique, poste de direction, part de femmes",36%,,
2017,France,"Spectacle vivant, Direction technique et régie générale, part de femmes",14%,,Audiens/études Stat 
2017,France,"Spectacle vivant, autres emplois dans direction technique et régie générale, part de femmes",15%,,Audiens/études Stat 
2017,France,"Spectacle vivant, Emplois du plateau, de la scène et de la machinerie, part de femmes",12%,,Audiens/études Stat 
2017,France,"Spectacle vivant, Régie scène, plateau, salle, part de femmes",14%,,Audiens/études Stat 
2017,France,"Spectacle vivant, Emplois de l'accroche et de la structure, part de femmes",6%,,Audiens/études Stat 
2017,France,"Spectacle vivant, Emplois des accessoires et des effets spéciaux, part de femmes",25%,,Audiens/études Stat 
2017,France,"Spectacle vivant, Technicien·ne des effets spéciaux, part de femmes",15%,,Audiens/études Stat 
2017,France,"Spectacle vivant, Emplois de la lumière et de l'électricité, part de femmes",13%,,Audiens/études Stat 
2017,France,"Spectacle vivant, Technicien·ne instruments - Backliner, part de femmes",8%,,Audiens/études Stat 
2017,France,"Spectacle vivant, Autres emplois du son, part de femmes, part de femmes",4%,,Audiens/études Stat 
2017,France,"Spectacle vivant, Emplois de la vidéo et de l'image, part de femmes",16%,,Audiens/études Stat 
2017,France,"Spectacle vivant, Emplois du décor, part de femmes",26%,,Audiens/études Stat 
2017,France,"Spectacle vivant, Décor, responsable du bureau d'étude, part de femmes",15%,,Audiens/études Stat 
2017,France,"Spectacle vivant, Décor, Technicien du bureau d'étude, part de femmes",35%,,Audiens/études Stat 
2017,France,"Spectacle vivant, Décor, Menuisier constructeur, part de femmes",14%,,Audiens/études Stat 
2017,France,"Spectacle vivant, Décor, Chef constructeur, part de femmes",13%,,Audiens/études Stat 
2017,France,"Spectacle vivant, Décor, Chef tapissier, part de femmes",44%,,Audiens/études Stat 
2017,France,"Spectacle vivant, Décor, Tapissier, part de femmes",25%,,Audiens/études Stat 
2017,France,"Spectacle vivant, Emplois du costume, Couturier, part de femmes",92%,,Audiens/études Stat 
2017,France,"Spectacle vivant, Emplois du costume, Teinturier-patineur, part de femmes",77%,,Audiens/études Stat 
2017,France,"Spectacle vivant, Réalisateur de piéces de costume, part de femmes",90%,,Audiens/études Stat 
2017,France,"Spectacle vivant, Emplois de la coiffure, du maquillage et des masques, part de femmes",84%,,Audiens/études Stat 
2017,France,"Spectacle vivant, Responsable de sécurité, part de femmes",13%,,Audiens/études Stat 
2020-2021,France,"Théâtre, part des spectacles programmés écrits par des femmes",29%,,
2020-2021,France,"Théâtre, part des spectacles programmés mis en scène par des femmes",38%,,
