pays,annee,nom,valeur,
France,2017,"Secteur de la musique, part de femmes",36%,
France,2017,"Secteur de la musique, Cadre, part de femmes",43%,
France,2017,"Artistes dans les distribution théâtrale, part de femmes",41%,
France,2022,"Direction de Scènes nationales, part de femmes",34%,
France,2021,"Chef·fe·s d’orchestre, part de femmes",7%,
France,2022,"Direction d'Opéras, part de femmes",17%,
France,2021,"Direction de musées nationaux, part de femmes",58%,
France,2022,"Mise en scène d'opéra, part de femmes",25%,
France,2012-2021,"Prix littéraires, part de femmes",39%,
France,2019,"Jeu vidéo, pôle création, part de femmes",13%,
France,2019,"Jeu vidéo, pôle technologique, part de femmes",3%,
France,2019,"Jeu vidéo, pôle production, part de femmes",27%,
France,2021,"Secteur Films d'animation, part de femmes",41%,https://www.audiens.org/files/live/sites/siteAudiens/files/03_documents/groupe/Etudes/Etude-films-animation-2022.pdf
France,2021,"Secteur Films d'animation, masse salariale, part de femmes",37%,https://www.audiens.org/files/live/sites/siteAudiens/files/03_documents/groupe/Etudes/Etude-films-animation-2022.pdf
France,2019,"Secteur Films d'animation, cadre, part de femmes",38%,https://www.audiens.org/files/live/sites/siteAudiens/files/03_documents/groupe/Etudes/Etude-films-animation-2022.pdf
France,2018,"Secteur Films d'animation, non cadre, part de femmes",55%,https://www.audiens.org/files/live/sites/siteAudiens/files/03_documents/groupe/Etudes/Etude-films-animation-2022.pdf
France,2019,"Secteur Films d'animation, non cadre, part de femmes",53%,https://www.audiens.org/files/live/sites/siteAudiens/files/03_documents/groupe/Etudes/Etude-films-animation-2022.pdf
France,2018,"Secteur Films d'animation, réalisation, part de femmes",32%,https://www.audiens.org/files/live/sites/siteAudiens/files/03_documents/groupe/Etudes/Etude-films-animation-2022.pdf
France,2021,"Secteur Films d'animation, réalisation, part de femmes",40%,https://www.audiens.org/files/live/sites/siteAudiens/files/03_documents/groupe/Etudes/Etude-films-animation-2022.pdf
France,2021,"Secteur Films d'animation, Storyboard, part de femmes",34%,https://www.audiens.org/files/live/sites/siteAudiens/files/03_documents/groupe/Etudes/Etude-films-animation-2022.pdf
France,2021,"Secteur Films d'animation, Animation, part de femmes",40%,https://www.audiens.org/files/live/sites/siteAudiens/files/03_documents/groupe/Etudes/Etude-films-animation-2022.pdf
France,2021,"Secteur Films d'animation, Rendu et éclairage, part de femmes",38%,https://www.audiens.org/files/live/sites/siteAudiens/files/03_documents/groupe/Etudes/Etude-films-animation-2022.pdf
France,2021,"Secteur Films d'animation, Montage image-son, part de femmes",25%,https://www.audiens.org/files/live/sites/siteAudiens/files/03_documents/groupe/Etudes/Etude-films-animation-2022.pdf
France,2021,"Secteur Films d'animation, Prise de vues-son, part de femmes",21%,https://www.audiens.org/files/live/sites/siteAudiens/files/03_documents/groupe/Etudes/Etude-films-animation-2022.pdf
France,2017,"Secteur Musique et chant, emploi, part de femmes",26%,Audiens/études Stat 
France,2017,"Secteur Musique et chant, Direction musicale, part de femmes",29%,Audiens/études Stat 
France,2017,"Secteur Musique et chant, Chef·fe d'orchestre, part de femmes",11%,Audiens/études Stat 
France,2017,"Secteur Musique et chant, Arrangement musical, part de femmes",6%,Audiens/études Stat 
France,2017,"Secteur Musique et chant, Musicien·ne, part de femmes",21%,Audiens/études Stat 
France,2017,"Secteur Musique et chant, Chef·fe de Choeurs, part de femmes",52%,Audiens/études Stat 
France,2017,"Secteur Musique et chant, Chef·fe de Chant, part de femmes",51%,Audiens/études Stat 
France,2017,"Secteur Musique et chant, Chanteur-euse, part de femmes",54%,Audiens/études Stat 
France,2017,"Secteur Musique et chant, autres emplois, part de femmes",39%,Audiens/études Stat 
France,2017,"Emplois du cirque et des arts visuels, part de femmes",35%,Audiens/études Stat 
France,2017,"Spectacle vivant, emplois artistiques, part de femmes",37%,Audiens/études Stat 
France,2017,"Spectacle vivant, emplois techniques, part de femmes",21%,Audiens/études Stat 
France,2017,"Spectacle vivant, Direction technique, part de femmes",10%,Audiens/études Stat 
France,2017,"Spectacle vivant, régie générale, part de femmes",14%,Audiens/études Stat 
France,2017,"Spectacle vivant, Responsable logistique, part de femmes",34%,Audiens/études Stat 
France,2017,"Spectacle vivant, Technique de la logistique, part de femmes",26%,Audiens/études Stat 
France,2017,"Spectacle vivant, Régie plateau, part de femmes",12%,Audiens/études Stat 
France,2017,"Spectacle vivant, Technicien de plateau, part de femmes",11%,Audiens/études Stat 
France,2017,"Spectacle vivant, Manutension plateau, part de femmes",6%,Audiens/études Stat 
France,2017,"Spectacle vivant, Direction de structure, part de femmes",7%,Audiens/études Stat 
France,2017,"Spectacle vivant, Régisseur de structure, part de femmes",1%,Audiens/études Stat 
France,2017,"Spectacle vivant, Technicien de structure, part de femmes",5%,Audiens/études Stat 
France,2017,"Spectacle vivant, Chef·fe accrocheur-rigger, part de femmes",0%,Audiens/études Stat 
France,2017,"Spectacle vivant, Accrocheur-rigger, part de femmes",5%,Audiens/études Stat 
France,2017,"Spectacle vivant, Chef·fe accessoiriste, part de femmes",7%,Audiens/études Stat 
France,2017,"Spectacle vivant, Accessoiriste, part de femmes",49%,Audiens/études Stat 
France,2017,"Spectacle vivant, Conception lumière, part de femmes",19%,Audiens/études Stat 
France,2017,"Spectacle vivant, Régie lumière, part de femmes",16%,Audiens/études Stat 
France,2017,"Spectacle vivant, Technicien lumière, part de femmes",12%,Audiens/études Stat 
France,2017,"Spectacle vivant, Chef électricien, part de femmes",15%,Audiens/études Stat 
France,2017,"Spectacle vivant, Costumier, part de femmes",88%,Audiens/études Stat 
France,2017,"Spectacle vivant, Emplois du costume, Tailleur, part de femmes",76%,Audiens/études Stat 
France,2017,"Spectacle vivant, Régisseur son, part de femmes",7%,Audiens/études Stat 
France,2017,"Spectacle vivant, Technicien son, part de femmes",7%,Audiens/études Stat 
France,2017,"Spectacle vivant, Concepteur vidéo-image, part de femmes",15%,Audiens/études Stat 
France,2017,"Spectacle vivant, Réalisateur, part de femmes",29%,Audiens/études Stat 
France,2017,"Spectacle vivant, Régisseur vidéo-image, part de femmes",16%,Audiens/études Stat 
France,2017,"Spectacle vivant, Technicien vidéo-image, part de femmes",14%,Audiens/études Stat 
France,2017,"Spectacle vivant, Autres emplois vidéo-image, part de femmes",24%,Audiens/études Stat 
France,2017,"Spectacle vivant, Electricien, part de femmes",2%,Audiens/études Stat 
France,2017,"Spectacle vivant, Emplois du son, part de femmes",8%,Audiens/études Stat 
France,2017,"Spectacle vivant, Conception du son, part de femmes",8%,Audiens/études Stat 
France,2017,"Spectacle vivant, Décor, Peintre décorateur, part de femmes",50%,Audiens/études Stat 
France,2017,"Spectacle vivant, Décor, autres emplois, part de femmes",33%,Audiens/études Stat 
France,2017,"Spectacle vivant, Emplois du costume, part de femmes",90%,Audiens/études Stat 
France,2017,"Spectacle vivant, Conception costume, part de femmes",90%,Audiens/études Stat 
France,2017,"Spectacle vivant, Décor, Chef serrurier, part de femmes",3%,Audiens/études Stat 
France,2017,"Spectacle vivant, Décor, Serrurier, part de femmes",12%,Audiens/études Stat 
France,2017,"Spectacle vivant, Chef habilleur, part de femmes",94%,Audiens/études Stat 
France,2017,"Spectacle vivant, Habilleur, part de femmes",96%,Audiens/études Stat 
France,2017,"Spectacle vivant, Manutentionnaire, part de femmes",9%,Audiens/études Stat 
France,2017,"Spectacle vivant, Chauffeur - Livreur, part de femmes",9%,Audiens/études Stat 
France,2017,"Spectacle vivant, Décor, Sculpteur - Staffeur, part de femmes",39%,Audiens/études Stat 
France,2017,"Spectacle vivant, Chef maquilleur, part de femmes",87%,Audiens/études Stat 
France,2017,"Spectacle vivant, maquilleur, part de femmes",91%,Audiens/études Stat 
France,2017,"Spectacle vivant, Perruquier - Posticheur, part de femmes",89%,Audiens/études Stat 
France,2017,"Spectacle vivant, Emplois des services généraux, part de femmes",26%,Audiens/études Stat 
France,2017,"Spectacle vivant, Gardien - Agent d'entretien, part de femmes",60%,Audiens/études Stat 
France,2017,"Spectacle vivant, Informaticien, part de femmes",13%,Audiens/études Stat 
France,2017,"Spectacle vivant, Direction, part de femmes",32%,Audiens/études Stat 
France,2017,"Spectacle vivant, Administration, part de femmes",71%,Audiens/études Stat 
France,2017,"Spectacle vivant, Chef·fe coiffeur, part de femmes",82%,Audiens/études Stat 
France,2017,"Spectacle vivant, Coiffeur, part de femmes",67%,Audiens/études Stat 
France,2021,"Chef·fe d'orchestre, part de femmes",4%,
France,2019,"Festival, musicien·nes, part de femmes",28%,
France,2019,"Festival, part de femmes",22%,
France,2019,"Professeur·e·s d’art, part de femmes",61%,
France,2019,"Professions littéraires, part de femmes",53%,
France,2019,"Professions des arts visuels et métiers d’art, part de femmes",48%,
France,2019,"Professions des spectacles, part de femmes",34%,
France,2019,"Architectes, part de femmes",38%,
France,2018,"Composition musicale et chorégraphique, part de femmes",11%,
France,2018,"Profession du dessin textile, part de femmes",91%,
France,2018,"Profession du dessin, part de femmes",36%,
France,2018,"Profession de la traduction, part de femmes",68%,
France,2019,"Artiste de théâtre programmé·es, part de femmes ",33%,
France,2019,"Artistes exposé·es dans les FRAC, part de femmes",31%,
France,2019,"Artistes musicaux programmé·es, part de femmes",20%,
France,2017,"Réalisation de films longs métrages, part de femmes",23%,
France,2017,"Spectacle vivant, part de femmes",38.90%,
France,2017,"Spectacle vivant, Emploi artistique, part de femmes",36%,
France,2017,"Spectacle vivant, Emploi cadre, part de femmes",40.90%,
France,2017,"Spectacle vivant, Emploi non cadre, part de femmes",41%,
France,2022,"Centres d'art, direction, par de femmes",57%,
