pays,annee,nom,valeur,REF,,
France,2021,"Audiovisuel, emploi intermittent, masse salariale, part de femmes",36.10%,,MàJ 2022,
France,2021,"Artistes de la musique et du chant, intermittent·e, part de femmes",33.90%,,MàJ 2022,
France,2020,"Personnalités médiatiques dans la presse, part de femmes",18%,0.642,,
France,2020,"Invité·es politiques, part de femmes",33%,0.34,,
France,2019,"Journaliste, part de femmes",47%,0.066,,
France,2019,"Journaliste, reporter photo, part de femmes",15%,0.7,,
France,2019,"Journaliste, Iconographe, part de femmes",72%,0.44,,
France,2019,"Journaliste dirigeant·e, part de femmes",31%,0.38,,
France,2019,"Journalisme, rédaction en chef, part de femmes",39%,0.22,,
France,2019,"Journalisme, documentaliste, part de femmes",73%,0.46,,
France,2020,"Personnalités médiatiques dans la presse, part de femmes",17.90%,,,
France,2020,"Temps de parole des invité-es des matinales radios, part de femmes",32%,,,
France,2020,"Invités politiques (télévision et radio), part de femmes",33%,,,
France,2022,"Réseau radio France Bleu, Direction de station, part de femmes",25%,,,
France,2022,"Réseau radio France Bleu, responsable des programmes, part de femmes",17%,,,
France,2022,"Réseau radio France Bleu, responsable technique, part de femmes",7%,,,
France,2022,"Réseau radio France Bleu, Rédacteur·rice en chef, part de femmes",42%,,,
France,2022,"Direction des antennes, Radio France, part de femmes",29%,,,
France,2019,"Direction des antennes, France Télévisions, part de femmes",75%,,,
France,2020,"Temps de parole, radio et télé, programme Sport, part de femmes",13%,,,https://drive.google.com/drive/folders/1CEvC_-UKRGA2qHBrKR7tPq0QsyatSnN-
France,2020,"Temps de parole, radio et télé, programme Information, magazine, part de femmes",30%,,,https://drive.google.com/drive/folders/1CEvC_-UKRGA2qHBrKR7tPq0QsyatSnN-
France,2020,"Temps de parole, radio et télé, programme Diverstissement, part de femmes",35%,,,https://drive.google.com/drive/folders/1CEvC_-UKRGA2qHBrKR7tPq0QsyatSnN-
France,2020,"Temps de parole, radio et télé, programme Musique, part de femmes",44%,,,https://drive.google.com/drive/folders/1CEvC_-UKRGA2qHBrKR7tPq0QsyatSnN-
France,2020,"Temps de parole, radio et télé, programme Information, journal, part de femmes",39%,,,https://drive.google.com/drive/folders/1CEvC_-UKRGA2qHBrKR7tPq0QsyatSnN-
France,2020,"Temps de parole, radio et télé, programme Information, part de femmes",37%,,,https://drive.google.com/drive/folders/1CEvC_-UKRGA2qHBrKR7tPq0QsyatSnN-
France,2020,"Temps de parole, radio et télé, programme documentaire, part de femmes",38%,,,https://drive.google.com/drive/folders/1CEvC_-UKRGA2qHBrKR7tPq0QsyatSnN-
France,2020,"Temps de parole, radio et télé, L'Equipe, part de femmes",13%,,,
France,2020,"Temps de parole, radio et télé, TMC, part de femmes",21%,,,
France,2020,"Temps de parole, radio et télé, NRJ, part de femmes",23%,,,
France,2020,"Temps de parole, radio et télé, RMC Story, part de femmes",24%,,,
France,2020,"Temps de parole, radio et télé, RMC, part de femmes",25%,,,
France,2020,"Temps de parole, radio et télé, Canal+, part de femmes",25%,,,
France,2020,"Temps de parole, radio et télé, Cnews, part de femmes",27%,,,
France,2020,"Temps de parole, radio et télé, France Info, part de femmes",31%,,,
France,2020,"Temps de parole, radio et télé, RTL, part de femmes",36%,,,
France,2020,"Temps de parole, radio et télé, RFI, part de femmes",36%,,,
France,2020,"Temps de parole, radio et télé, France Musique, part de femmes",38%,,,
France,2020,"Temps de parole, radio et télé, France Inter, part de femmes",39%,,,
France,2020,"Temps de parole, radio et télé, France Culture, part de femmes",39%,,,
France,2020,"Temps de parole, radio et télé, part de femmes",35%,,,
France,2020,"Temps de parole, radio et télé, Europe 1, part de femmes",40%,,,
France,2020,"Chaînes d'info en continue, BFM TV, part de femmes",42%,,,
France,2020,"Chaînes d'info en continue, Cnews, part de femmes",39%,,,
France,2020,"Chaînes d'info en continue, LCI, part de femmes",36%,,,
France,2020,"LCI, Invité·es politiques, part de femmes",41%,,,
France,2020,"France Info, Invité·es politiques, part de femmes",36%,,,
France,2020,"BFM TV, Invité·es politiques, part de femmes",33%,,,
France,2020,"Cnews, Invité·es politiques, part de femmes",30%,,,
France,2020,"France24, Invité·es politiques, part de femmes",26%,,,
France,2020,"RTL, Invité·es politiques, part de femmes",35%,,,
France,2020,"RMC, Invité·es politiques, part de femmes",34%,,,
France,2020,"France Culture, Invité·es politiques, part de femmes",29%,,,
France,2020,"France Inter, Invité·es politiques, part de femmes",25%,,,
France,2020,"Europe 1, Invité·es politiques, part de femmes",25%,,,
France,2020,"France Info, Invité·es politiques, part de femmes",24%,,,
France,2020,"RFI, Invité·es politiques, part de femmes",21%,,,
Monde,2020,"Sport, couverture médiatique, part de femmes",4%,,,
Monde,2020,"Journalistes, part de femmes",33%,https://www.unwomen.org/sites/default/files/Headquarters/Attachments/Sections/Library/Publications/2020/Gender-equality-Womens-rights-in-review-fr.pdf,,
Monde,1995,"Sujets d'actualité, personnes interviewé·es, part de femmes",17%,https://whomakesthenews.org/wp-content/uploads/2021/10/Rapport-national-France.pdf,,
Monde,1995,"Sujets d'actualité, personnes interviewé·es, part de femmes",21%,https://whomakesthenews.org/wp-content/uploads/2021/10/Rapport-national-France.pdf,,
France,2020,"Présence dans les médias traditionnels, part de femmes",28%,https://whomakesthenews.org/wp-content/uploads/2021/10/Rapport-national-France.pdf,,
France,2020,"Présence dans les médias électroniques, part de femmes",36%,https://whomakesthenews.org/wp-content/uploads/2021/10/Rapport-national-France.pdf,,
France,2015,"Médias, source ou sujet·te d'information, part de femmes",24%,,,
France,2020,"Médias, source ou sujet·te d'information, part de femmes",29.80%,,,
France,2020,"Médias, source d'informations politiques, part de femmes",24%,,,
France,2020,"Médias, source d'informations économiques, part de femmes",20%,,,
France,2020,"Médias, source d'informations sciences et santé, part de femmes",37%,,,
France,2020,"Médias, source d'informations, violences, part de femmes",38%,,,
France,2020,"Médias, source d'informations, célébrités, arts, sport, part de femmes",24%,,,
Europe,2020,"Médias, source d'informations politiques, part de femmes",22%,,,
Europe,2020,"Médias, source d'informations économiques, part de femmes",30%,,,
Europe,2020,"Médias, source d'informations sciences et santé, part de femmes",36%,,,
Europe,2020,"Médias, source d'informations, violences, part de femmes",26%,,,
Europe,2020,"Médias, source d'informations, célébrités, arts, sport, part de femmes",30%,,,
France,2020,"Sollcité·es par les médias, politique, part de femmes",17%,,,
France,2020,"Sollcité·es par les médias, sportif·ves, part de femmes",18%,,,
France,2020,"Sollcité·es par les médias, chef·fes d'entreprise, part de femmes",19%,,,
France,2020,"Sollcité·es par les médias, journalistes, part de femmes",22%,,,
France,2020,"Sollcité·es par les médias, expert·es et enseignant·es, part de femmes",23%,,,
France,2020,"Sollcité·es par les médias, retraité·es, part de femmes",25%,,,
France,2020,"Sollcité·es par les médias, fonctionnaires, part de femmes",26%,,,
