indicator,fr,es
"Agent·es permanent·es, cat.C, en télétravail, part de femmes","Agent·es permanent·es, cat.C, en télétravail, part de femmes",
"55-64 ans, Bac+5 ou plus, part de femmes","55-64 ans, Bac+5 ou plus, part de femmes",
"25 à 54 ans, emploi à temps partiel, part de femmes ","25 à 54 ans, emploi à temps partiel, part de femmes",
"15-19 ans, Bac+5 ou plus, part de femmes","15-19 ans, Bac+5 ou plus, part de femmes",
"Maire adjoint·es, part de femmes","Maire adjoint·es, part de femmes",
"Auto-entrepreneur·euses, part de femmes","Auto-entrepreneur·euses, part de femmes",
"Ensemble, Bac+3 ou bac+4, part de femmes","Ensemble, Bac+3 ou bac+4, part de femmes",
"Contrats à durée déterminée, part de femmes","Contrats à durée déterminée, part de femmes",
"Conseils communautaires, hors fonction éxecutive, part de femmes","Conseils communautaires, hors fonction éxecutive, part de femmes",
"40-54 ans, CAP, BEP ou équivalent, part de femmes","40-54 ans, CAP, BEP ou équivalent, part de femmes",
"Conseils communautaires, part de femmes","Conseils communautaires, part de femmes",
"Maire d'une commune - 10 000-30 000 hab., part de femmes","Maire d'une commune - 10 000-30 000 hab., part de femmes",
"15-19 ans, aucun diplôme ou certificat d'études, part de femmes","15-19 ans, aucun diplôme ou certificat d'études, part de femmes",
"40-54 ans, part de femmes","40-54 ans, part de femmes",
"Ensemble, Bac, brevet professionnel, part de femmes","Ensemble, Bac, brevet professionnel, part de femmes",
"55 à 64 ans, emploi à temps partiel, part de femmes ","55 à 64 ans, emploi à temps partiel, part de femmes",
"25-39 ans, aucun diplôme ou certificat d'études, part de femmes","25-39 ans, aucun diplôme ou certificat d'études, part de femmes",
"Agent·es permanent·es de la collectivité, medico-social, part de femmes","Agent·es permanent·es de la collectivité, medico-social, part de femmes",
"Apprentissage - Stage, part de femmes","Apprentissage - Stage, part de femmes",
"Maire d'une commune - 1000-3500 hab., part de femmes","Maire d'une commune - 1000-3500 hab., part de femmes",
"40-54 ans, Bac+2, part de femmes","40-54 ans, Bac+2, part de femmes",
"Parlements, toutes chambres confondues, part de femmes","Parlements, toutes chambres confondues, part de femmes",
"20-24 ans, aucun diplôme ou certificat d'études, part de femmes","20-24 ans, aucun diplôme ou certificat d'études, part de femmes",
"Conseils régionaux, autres fonctions, part de femmes","Conseils régionaux, autres fonctions, part de femmes",
"Secteur industrie, part de femmes","Secteur industrie, part de femmes",
"Secteur commerce, transports, services, part de femmes","Secteur commerce, transports, services, part de femmes",
"20-24 ans, Bac+5 ou plus, part de femmes","20-24 ans, Bac+5 ou plus, part de femmes",
"20-24 ans, Bac+3 ou bac+4, part de femmes","20-24 ans, Bac+3 ou bac+4, part de femmes",
"Employeur.e.s, part de femmes","Employeur.e.s, part de femmes",
"Agent·es permanent·es à temps partiel, part de femmes","Agent·es permanent·es à temps partiel, part de femmes",
"Maire d'une commune - 3500-10 000 hab., part de femmes","Maire d'une commune - 3500-10 000 hab., part de femmes",
"Maire de communes urbaines, part de femmes","Maire de communes urbaines, part de femmes",
"Fonction publique territorial, filière Médico-technique, part de femmes","Fonction publique territorial, filière Médico-technique, part de femmes",
"Cadres dirigeant·es, part de femmes","Cadres dirigeant·es, part de femmes",
"15-19 ans, CAP, BEP ou équivalent, part de femmes","15-19 ans, CAP, BEP ou équivalent, part de femmes",
"25-39 ans, Bac+2, part de femmes","25-39 ans, Bac+2, part de femmes",
"25-29 ans, part de femmes","25-29 ans, part de femmes",
"Maires, part de femmes","Maires, part de femmes",
"Fonction publique territorial, filière Culturelle, part de femmes","Fonction publique territorial, filière Culturelle, part de femmes",
"Ensemble, Bac+2, part de femmes","Ensemble, Bac+2, part de femmes",
"Ensemble, aucun diplôme ou certificat d'études, part de femmes","Ensemble, aucun diplôme ou certificat d'études, part de femmes",
"Emploi non salarié, part de femmes","Emploi non salarié, part de femmes",
"Parlement Européen, part de femmes","Parlement Européen, part de femmes",
"Population scolarisée, 30 ans ou plus, part de femmes","Population scolarisée, 30 ans ou plus, part de femmes",
"Secteur industrie, salarié.es, part de femmes","Secteur industrie, salarié.es, part de femmes",
"Administration publique, enseignement, santé, action sociale, non salarié.es, part de femmes","Administration publique, enseignement, santé, action sociale, non salarié.es, part de femmes",
"Conseils municipaux, part de femmes","Conseils municipaux, part de femmes",
"40-54 ans, aucun diplôme ou certificat d'études, part de femmes","40-54 ans, aucun diplôme ou certificat d'études, part de femmes",
"Aides familiaux, part de femmes","Aides familiaux, part de femmes",
"Maire d'une commune - 30 000-100 000 hab., part de femmes","Maire d'une commune - 30 000-100 000 hab., part de femmes",
"Conseils communautaires, présidence, part de femmes","Conseils communautaires, présidence, part de femmes",
"Maire adjoint·es","Maire adjoint·es",
"Dirigeant·e de SA ou SAS, part de femmes","Dirigeant·e de SA ou SAS, part de femmes",
"Secteur agriculture, salarié.es, part de femmes","Secteur agriculture, salarié.es, part de femmes",
"Député·es, part de femmes","Député·es, part de femmes",
"Ensemble de dirigeant·es salarié·es, part de femmes","Ensemble de dirigeant·es salarié·es, part de femmes",
"Emploi à temps partiel, part de femmes ","Emploi à temps partiel, part de femmes",
"Fonction publique territorial, filière Administrative, part de femmes","Fonction publique territorial, filière Administrative, part de femmes",
"Commerce, transports, services, salarié.es, part de femmes","Commerce, transports, services, salarié.es, part de femmes",
"Fonction publique territorial, filière Technique, part de femmes","Fonction publique territorial, filière Technique, part de femmes",
"Gérant·e majoritaire de SARL, part de femmes","Gérant·e majoritaire de SARL, part de femmes",
"Secteur industrie, non salarié.es, part de femmes","Secteur industrie, non salarié.es, part de femmes",
"Agent·es permanent·es de la collectivité, sport, part de femmes","Agent·es permanent·es de la collectivité, sport, part de femmes",
"Agent·es permanent·es absent·es pour enfant malade, part de femmes","Agent·es permanent·es absent·es pour enfant malade, part de femmes",
"20-24 ans, part de femmes","20-24 ans, part de femmes",
"Gérant·e majoritaire de société, part de femmes","Gérant·e majoritaire de société, part de femmes",
"Maire d'une commune - 100 000 hab. ou plus, part de femmes","Maire d'une commune - 100 000 hab. ou plus, part de femmes",
"25-39 ans, CAP, BEP ou équivalent, part de femmes","25-39 ans, CAP, BEP ou équivalent, part de femmes",
"15-19 ans, Bac, brevet professionnel, part de femmes","15-19 ans, Bac, brevet professionnel, part de femmes",
"Population scolarisée, de 15 à 17 ans, part de femmes","Population scolarisée, de 15 à 17 ans, part de femmes",
"Population scolarisée, de 18 à 24 ans, part de femmes","Population scolarisée, de 18 à 24 ans, part de femmes",
"Conseils régionaux, vice-présidence, part de femmes","Conseils régionaux, vice-présidence, part de femmes",
"55-64 ans, Bac+3 ou bac+4, part de femmes","55-64 ans, Bac+3 ou bac+4, part de femmes",
"Secteur agriculture, non salarié.es, part de femmes","Secteur agriculture, non salarié.es, part de femmes",
"40-54 ans, BEPC, brevet des collèges, part de femmes","40-54 ans, BEPC, brevet des collèges, part de femmes",
