"COU","Country","IND","Indicator","YEAR","Year","Value","Flag Codes","Flags"
"CAN","Canada","EMPW_PARL","Gender equality in parliament, percentage of women","2017","2017",26.3,,
"CAN","Canada","EMPW_PARL","Gender equality in parliament, percentage of women","2019","2019",26.9,,
"CAN","Canada","EMPW_PARL","Gender equality in parliament, percentage of women","2021","2021",29.6,,
"CAN","Canada","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2012","2012",26.9,,
"CAN","Canada","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2015","2015",30.8,,
"CAN","Canada","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2017","2017",51.7,,
"CAN","Canada","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2019","2019",50,,
"CAN","Canada","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2021","2021",51.43,,
"CZE","Czech Republic","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2007","2007",16.2,,
"CZE","Czech Republic","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2008","2008",15.85,,
"CZE","Czech Republic","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2009","2009",16.18,,
"CZE","Czech Republic","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2010","2010",16.31,,
"CZE","Czech Republic","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2011","2011",16.3,,
"CZE","Czech Republic","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2012","2012",16.03,,
"CZE","Czech Republic","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2013","2013",16.18,,
"CZE","Czech Republic","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2014","2014",16.3,,
"CZE","Czech Republic","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2015","2015",16.21,,
"CZE","Czech Republic","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2016","2016",16.18,,
"CZE","Czech Republic","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2017","2017",16.46,,
"CZE","Czech Republic","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2018","2018",16.54,,
"CZE","Czech Republic","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2019","2019",16.57,,
"CZE","Czech Republic","EMPGG","Employment in general government","2007","2007",825,,
"CZE","Czech Republic","EMPGG","Employment in general government","2008","2008",825,,
"CZE","Czech Republic","EMPGG","Employment in general government","2009","2009",827,,
"CZE","Czech Republic","EMPGG","Employment in general government","2010","2010",825,,
"CZE","Czech Republic","EMPGG","Employment in general government","2011","2011",822,,
"CZE","Czech Republic","EMPGG","Employment in general government","2012","2012",812,,
"CZE","Czech Republic","EMPGG","Employment in general government","2013","2013",822,,
"CZE","Czech Republic","EMPGG","Employment in general government","2014","2014",833,,
"CZE","Czech Republic","EMPGG","Employment in general government","2015","2015",840,,
"CZE","Czech Republic","EMPGG","Employment in general government","2016","2016",852,,
"CZE","Czech Republic","EMPGG","Employment in general government","2017","2017",880,,
"CZE","Czech Republic","EMPGG","Employment in general government","2018","2018",896,,
"CZE","Czech Republic","EMPGG","Employment in general government","2019","2019",900,,
"CZE","Czech Republic","EMPW_PARL","Gender equality in parliament, percentage of women","2012","2012",22,,
"CZE","Czech Republic","EMPW_PARL","Gender equality in parliament, percentage of women","2015","2015",20,,
"CZE","Czech Republic","EMPW_PARL","Gender equality in parliament, percentage of women","2017","2017",20,,
"CZE","Czech Republic","EMPW_PARL","Gender equality in parliament, percentage of women","2019","2019",22.5,,
"CZE","Czech Republic","EMPW_PARL","Gender equality in parliament, percentage of women","2021","2021",23,,
"CZE","Czech Republic","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2012","2012",13.3,,
"CZE","Czech Republic","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2015","2015",18.8,,
"CZE","Czech Republic","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2017","2017",17.6,,
"CZE","Czech Republic","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2019","2019",28.6,,
"CZE","Czech Republic","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2021","2021",30.77,,
"DNK","Denmark","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2007","2007",28.33,,
"DNK","Denmark","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2008","2008",27.79,,
"DNK","Denmark","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2009","2009",29.43,,
"DNK","Denmark","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2010","2010",30.42,,
"DNK","Denmark","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2011","2011",29.89,,
"DNK","Denmark","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2012","2012",29.71,,
"DNK","Denmark","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2013","2013",29.79,,
"DNK","Denmark","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2014","2014",29.46,,
"DNK","Denmark","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2015","2015",29.13,,
"DNK","Denmark","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2016","2016",28.47,,
"DNK","Denmark","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2017","2017",28.02,,
"DNK","Denmark","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2018","2018",27.78,,
"DNK","Denmark","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2019","2019",27.61,,
"DNK","Denmark","EMPGG","Employment in general government","2007","2007",825,,
"DNK","Denmark","EMPGG","Employment in general government","2008","2008",819,,
"DNK","Denmark","EMPGG","Employment in general government","2009","2009",840,,
"DNK","Denmark","EMPGG","Employment in general government","2010","2010",848,,
"DNK","Denmark","EMPGG","Employment in general government","2011","2011",833,,
"DNK","Denmark","EMPGG","Employment in general government","2012","2012",822,,
"DNK","Denmark","EMPGG","Employment in general government","2013","2013",824,,
"DNK","Denmark","EMPGG","Employment in general government","2014","2014",822,,
"DNK","Denmark","EMPGG","Employment in general government","2015","2015",824,,
"DNK","Denmark","EMPGG","Employment in general government","2016","2016",819,,
"DNK","Denmark","EMPGG","Employment in general government","2017","2017",818,,
"DNK","Denmark","EMPGG","Employment in general government","2018","2018",824,,
"DNK","Denmark","EMPGG","Employment in general government","2019","2019",829,,
"DNK","Denmark","EMPW_PARL","Gender equality in parliament, percentage of women","2012","2012",39.1,,
"DNK","Denmark","EMPW_PARL","Gender equality in parliament, percentage of women","2015","2015",37.4,,
"DNK","Denmark","EMPW_PARL","Gender equality in parliament, percentage of women","2017","2017",37.4,,
"DNK","Denmark","EMPW_PARL","Gender equality in parliament, percentage of women","2019","2019",37.4,,
"DNK","Denmark","EMPW_PARL","Gender equality in parliament, percentage of women","2021","2021",39.7,,
"DNK","Denmark","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2012","2012",39.1,,
"DNK","Denmark","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2015","2015",26.3,,
"DNK","Denmark","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2017","2017",42.9,,
"DNK","Denmark","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2019","2019",42.9,,
"DNK","Denmark","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2021","2021",31.58,,
"FIN","Finland","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2007","2007",24.47,,
"FIN","Finland","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2008","2008",24.17,,
"FIN","Finland","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2009","2009",24.9,,
"FIN","Finland","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2010","2010",25.03,,
"FIN","Finland","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2011","2011",24.81,,
"FIN","Finland","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2012","2012",24.64,,
"FIN","Finland","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2013","2013",24.95,,
"FIN","Finland","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2014","2014",24.8,,
"FIN","Finland","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2015","2015",24.56,,
"FIN","Finland","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2016","2016",24.28,,
"FIN","Finland","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2017","2017",24.18,,
"FIN","Finland","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2018","2018",24.06,,
"FIN","Finland","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2019","2019",24.24,,
"FIN","Finland","EMPGG","Employment in general government","2007","2007",616.4,,
"FIN","Finland","EMPGG","Employment in general government","2008","2008",622.3,,
"FIN","Finland","EMPGG","Employment in general government","2009","2009",624.9,,
"FIN","Finland","EMPGG","Employment in general government","2010","2010",624.3,,
"FIN","Finland","EMPGG","Employment in general government","2011","2011",628.9,,
"FIN","Finland","EMPGG","Employment in general government","2012","2012",629.9,,
"FIN","Finland","EMPGG","Employment in general government","2013","2013",632.9,,
"FIN","Finland","EMPGG","Employment in general government","2014","2014",626.4,,
"FIN","Finland","EMPGG","Employment in general government","2015","2015",619.9,,
"FIN","Finland","EMPGG","Employment in general government","2016","2016",615.5,,
"FIN","Finland","EMPGG","Employment in general government","2017","2017",619.4,,
"FIN","Finland","EMPGG","Employment in general government","2018","2018",631.8,,
"FIN","Finland","EMPGG","Employment in general government","2019","2019",647.4,,
"FIN","Finland","EMPW_PARL","Gender equality in parliament, percentage of women","2012","2012",42.5,,
"FIN","Finland","EMPW_PARL","Gender equality in parliament, percentage of women","2015","2015",41.5,,
"FIN","Finland","EMPW_PARL","Gender equality in parliament, percentage of women","2017","2017",42,,
"FIN","Finland","EMPW_PARL","Gender equality in parliament, percentage of women","2019","2019",46,,
"FIN","Finland","EMPW_PARL","Gender equality in parliament, percentage of women","2021","2021",46,,
"FIN","Finland","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2012","2012",50,,
"FIN","Finland","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2015","2015",62.5,,
"FIN","Finland","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2017","2017",38.5,,
"FIN","Finland","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2019","2019",37.5,,
"FIN","Finland","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2021","2021",50,,
"FRA","France","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2007","2007",22.35,,
"FRA","France","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2008","2008",22.26,,
"FRA","France","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2009","2009",22.59,,
"FRA","France","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2010","2010",22.62,,
"FRA","France","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2011","2011",22.19,,
"FRA","France","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2012","2012",21.96,,
"FRA","France","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2013","2013",22.06,,
"FRA","France","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2014","2014",22.15,,
"FRA","France","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2015","2015",22.17,,
"FRA","France","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2016","2016",22.09,,
"FRA","France","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2017","2017",21.84,,
"FRA","France","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2018","2018",21.47,,
"FRA","France","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2019","2019",21.23,,
"FRA","France","EMPGG","Employment in general government","2007","2007",6032.94,,
"FRA","France","EMPGG","Employment in general government","2008","2008",6040.03,,
"FRA","France","EMPGG","Employment in general government","2009","2009",6058.97,,
"FRA","France","EMPGG","Employment in general government","2010","2010",6072.9,,
"FRA","France","EMPGG","Employment in general government","2011","2011",6003.11,,
"FRA","France","EMPGG","Employment in general government","2012","2012",5961.13,,
"FRA","France","EMPGG","Employment in general government","2013","2013",5996.93,,
"FRA","France","EMPGG","Employment in general government","2014","2014",6055.08,,
"FRA","France","EMPGG","Employment in general government","2015","2015",6073.64,,
"FRA","France","EMPGG","Employment in general government","2016","2016",6088.96,,
"FRA","France","EMPGG","Employment in general government","2017","2017",6090.32,,
"FRA","France","EMPGG","Employment in general government","2018","2018",6047.43,,
"FRA","France","EMPGG","Employment in general government","2019","2019",6045.01,,
"FRA","France","EMPW_PARL","Gender equality in parliament, percentage of women","2012","2012",26.9,,
"FRA","France","EMPW_PARL","Gender equality in parliament, percentage of women","2015","2015",26.2,,
"FRA","France","EMPW_PARL","Gender equality in parliament, percentage of women","2017","2017",25.8,,
"FRA","France","EMPW_PARL","Gender equality in parliament, percentage of women","2019","2019",39.7,,
"FRA","France","EMPW_PARL","Gender equality in parliament, percentage of women","2021","2021",39.5,,
"FRA","France","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2012","2012",20.8,,
"FRA","France","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2015","2015",50,,
"FRA","France","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2017","2017",52.9,,
"FRA","France","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2019","2019",50,,
"FRA","France","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2021","2021",50,,
"DEU","Germany","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2007","2007",11.42,,
"DEU","Germany","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2008","2008",11.29,,
"DEU","Germany","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2009","2009",11.42,,
"DEU","Germany","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2010","2010",11.44,,
"DEU","Germany","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2011","2011",11.07,,
"DEU","Germany","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2012","2012",10.86,,
"DEU","Germany","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2013","2013",10.78,,
"DEU","Germany","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2014","2014",10.73,,
"DEU","Germany","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2015","2015",10.67,,
"DEU","Germany","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2016","2016",10.58,,
"DEU","Germany","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2017","2017",10.57,,
"DEU","Germany","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2018","2018",10.57,,
"DEU","Germany","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2019","2019",10.63,,
"DEU","Germany","EMPGG","Employment in general government","2007","2007",4598,,
"DEU","Germany","EMPGG","Employment in general government","2008","2008",4610,,
"DEU","Germany","EMPGG","Employment in general government","2009","2009",4672,,
"DEU","Germany","EMPGG","Employment in general government","2010","2010",4697,,
"DEU","Germany","EMPGG","Employment in general government","2011","2011",4598,,
"DEU","Germany","EMPGG","Employment in general government","2012","2012",4562,,
"DEU","Germany","EMPGG","Employment in general government","2013","2013",4566,,
"DEU","Germany","EMPGG","Employment in general government","2014","2014",4586,,
"DEU","Germany","EMPGG","Employment in general government","2015","2015",4599,,
"DEU","Germany","EMPGG","Employment in general government","2016","2016",4620,,
"DEU","Germany","EMPGG","Employment in general government","2017","2017",4678,,
"DEU","Germany","EMPGG","Employment in general government","2018","2018",4742,,
"DEU","Germany","EMPGG","Employment in general government","2019","2019",4813,,
"DEU","Germany","EMPW_PARL","Gender equality in parliament, percentage of women","2012","2012",32.9,,
"DEU","Germany","EMPW_PARL","Gender equality in parliament, percentage of women","2015","2015",36.5,,
"DEU","Germany","EMPW_PARL","Gender equality in parliament, percentage of women","2017","2017",37,,
"DEU","Germany","EMPW_PARL","Gender equality in parliament, percentage of women","2019","2019",30.9,,
"DEU","Germany","EMPW_PARL","Gender equality in parliament, percentage of women","2021","2021",31.5,,
"DEU","Germany","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2012","2012",33.3,,
"DEU","Germany","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2015","2015",33.3,,
"DEU","Germany","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2017","2017",33.3,,
"DEU","Germany","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2019","2019",40,,
"DEU","Germany","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2021","2021",40,,
"GRC","Greece","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2007","2007",17.99,,
"GRC","Greece","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2008","2008",17.65,,
"GRC","Greece","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2009","2009",17.58,,
"GRC","Greece","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2010","2010",18.16,,
"GRC","Greece","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2011","2011",18.35,,
"GRC","Greece","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2012","2012",18,,
"GRC","Greece","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2013","2013",17.3,,
"GRC","Greece","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2014","2014",16.19,,
"GRC","Greece","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2015","2015",16.8,,
"GRC","Greece","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2016","2016",16.47,,
"GRC","Greece","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2017","2017",16.58,,
"GRC","Greece","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2018","2018",16.63,,
"GRC","Greece","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2019","2019",16.65,,
"GRC","Greece","EMPGG","Employment in general government","2007","2007",862.62,,
"GRC","Greece","EMPGG","Employment in general government","2008","2008",857.29,,
"GRC","Greece","EMPGG","Employment in general government","2009","2009",848.74,,
